city,year,quarter,freight_in,freight_out,pass_in,pass_out,ind_in,ind_out
Город,Год,Квартал,"Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество физических лиц, проследовавших через пункт пропуска","Количество физических лиц, проследовавших через пункт пропуска"
,,,В Россию,Из России,В Россию,Из России,В Россию,Из России
Омск,2018,9,0,0,154,154,34639,33924
Омск,2018,12,0,0,56,56,12621,10449
Омск,2019,3,0,0,34,34,8918,8916
Омск,2019,6,0,0,96,95,18981,21692
Омск,2019,9,0,0,150,149,34496,33927
Омск,2019,12,0,0,86,85,19027,17394
Омск,2020,3,1,0,47,45,12857,11089
Омск,2020,6,1,0,0,0,13,0
Омск,2020,9,0,0,3,2,17,14
Омск,2020,12,0,0,6,2,652,18
Оренбург,2018,3,0,0,27,27,5126,5050
Оренбург,2018,6,0,0,99,99,18820,21755
Оренбург,2018,9,0,0,133,133,28446,27091
Оренбург,2018,12,0,0,48,47,9809,8111
Оренбург,2019,3,0,0,21,20,3551,3789
Оренбург,2019,6,0,0,118,118,21077,23509
Оренбург,2019,9,0,0,137,137,29598,29523
Оренбург,2019,12,0,0,70,74,14973,13351
Оренбург,2020,3,0,0,27,29,5074,4334
Оренбург,2020,6,0,0,2,2,10,5
Оренбург,2020,9,0,1,9,6,46,22
Оренбург,2020,12,1,0,2,0,16,0
Оренбург-2,2019,3,0,0,0,0,0,0
Оренбург-2,2019,6,0,0,0,0,0,0
Оренбург-2,2019,9,15,15,0,0,1342,1322
Оренбург-2,2019,12,0,0,0,0,0,0
Орск,2019,3,0,0,0,0,0,0
Орск,2019,6,0,0,4,4,579,657
Орск,2019,9,0,0,0,0,0,0
Орск,2019,12,0,0,0,0,0,0
Остафьево,2018,3,0,0,87,75,230,188
Остафьево,2018,6,0,0,112,108,283,277
Остафьево,2018,9,0,0,105,968,218,204
Остафьево,2018,12,0,0,80,82,188,179
Остафьево,2019,3,0,0,85,86,192,203
Остафьево,2019,6,0,0,79,79,182,160
Остафьево,2019,9,0,0,73,74,355,389
Остафьево,2019,12,0,0,82,79,188,187
Остафьево,2020,3,0,0,49.5,47,127,129.5
Остафьево,2020,6,0,0,17,15,66,72
Остафьево,2020,9,0,0,85,84,132,112
Остафьево,2020,12,0,0,60,65,233,248
Пермь,2018,3,0,0,82,83,18696,18478
Пермь,2018,6,0,0,190,187,31487,36262
Пермь,2018,9,0,0,267,276,52664,52749
Пермь,2018,12,0,0,149,151,28172,25542
Пермь,2019,3,0,0,106,104,23470,22771
Пермь,2019,6,0,0,235,236,44916,50113
Пермь,2019,9,0,0,288,290,61203,61260
Пермь,2019,12,0,0,179,178,37269,33585
Пермь,2020,3,3,12,95,84,19813,17500
Пермь,2020,6,1,1,2,1,93,20
Пермь,2020,9,0,0,7,6,58,87
Пермь,2020,12,2,1,5,7,39,45
Петрозаводск,2018,3,0,0,0,0,0,0
Петрозаводск,2018,6,0,0,0,0,0,0
Петрозаводск,2018,9,0,0,2,2,12,6
Петрозаводск,2018,12,0,0,1,1,10,8
Петрозаводск,2019,3,0,0,0,0,0,0
Петрозаводск,2019,6,0,0,1,2,4,7
Петрозаводск,2019,9,0,0,0,0,0,0
Петрозаводск,2019,12,0,0,0,0,0,0
Петрозаводск,2020,3,0,0,0,0,0,0
Петрозаводск,2020,6,0,0,2,1,8,2
Петрозаводск,2020,9,0,0,0,0,0,0
Петрозаводск,2020,12,0,0,0,0,0,0
Петропавловск-Камчатский,2018,3,0,4,61,59,4286,4372
Петропавловск-Камчатский,2018,6,0,0,90,86,2859,2464
Петропавловск-Камчатский,2018,9,1,1,83,77,3539,3543
Петропавловск-Камчатский,2018,12,0,3,62,61,2461,2531
Петропавловск-Камчатский,2019,3,0,0,69,66,2356,2351
Петропавловск-Камчатский,2019,6,2,2,66,64,2671,2648
Петропавловск-Камчатский,2019,9,3,3,66,61,2560,2552
Петропавловск-Камчатский,2019,12,0,6,65,62,2653,2405
Петропавловск-Камчатский,2020,3,0,2,47,49,1939,1951
Петропавловск-Камчатский,2020,6,1,6,32,31,321,239
Петропавловск-Камчатский,2020,9,1,3,31,30,143,147
Петропавловск-Камчатский,2020,12,4,8,51,52,294,304
Провидения Бухта,2018,3,1,1,0,0,3,3
Провидения Бухта,2018,6,0,0,0,0,0,0
Провидения Бухта,2018,9,0,0,0,5,0,11
Провидения Бухта,2018,12,0,0,0,0,0,0
Провидения Бухта,2019,3,0,0,1,1,1,10
Провидения Бухта,2019,6,0,0,1,3,10,3
Провидения Бухта,2019,9,0,0,3,3,9,7
Провидения Бухта,2019,12,0,0,0,0,0,0
Псков,2018,3,0,2,9,4,24,25
Псков,2018,6,0,0,13,12,32,26
Псков,2018,9,0,0,25,18,50,40
Псков,2018,12,0,0,7,2,13,3
Псков,2019,3,0,0,3,6,10,16
Псков,2019,6,0,0,41,25,93,53
Псков,2019,9,0,0,33,25,77,58
Псков,2019,12,0,0,10,8,33,29
Псков,2020,3,0,0,10,3,21,6
Псков,2020,6,0,0,7,2,10,4
Псков,2020,9,0,0,21,17,40,46
Псков,2020,12,0,0,16,9,39,23
Ростов-на-Дону,2018,3,4,4,387,378,53900,52818
Ростов-на-Дону,2018,6,0,0,766,768,109452,117155
Ростов-на-Дону,2018,9,0,0,818,816,131607,130571
Ростов-на-Дону,2018,12,7,7,474,473,65627,64435
Ростов-на-Дону,2019,3,0,0,388,394,55749,57834
Ростов-на-Дону,2019,6,0,0,575,572,93297,99207
Ростов-на-Дону,2019,9,0,0,577,573,104268,102106
Ростов-на-Дону,2019,12,0,0,388,390,59601,58522
Ростов-на-Дону,2020,3,0,0,256,252,36133,31521
Ростов-на-Дону,2020,6,0,0,39,21,879,685
Ростов-на-Дону,2020,9,1,1,819,840,90447,113284
Ростов-на-Дону,2020,12,4,4,427,425,64822,59956
Сабетта,2018,3,2,1,0,0,24,12
Сабетта,2018,6,6,1,0,0,58,8
Сабетта,2018,9,6,1,1,1,60,18
Сабетта,2018,12,6,3,1,3,51,68
Сабетта,2019,3,1,0,0,0,12,0
Сабетта,2019,6,1,0,0,0,8,0
Сабетта,2019,9,0,0,0,0,0,0
Сабетта,2019,12,1,4,0,0,15,57
Самара,2018,3,0,0,362,359,51852,49028
Самара,2018,6,0,0,735,719,120324,128380
Самара,2018,9,0,0,819,818,147437,145935
Самара,2018,12,0,0,435,434,68720,61733
Самара,2019,3,0,0,270,272,41987,40893
Самара,2019,6,0,0,652,649,110718,117004
Самара,2019,9,0,0,789,787,152967,152339
Самара,2019,12,0,0,483,476,85240,80543
Самара,2020,3,0,0,260,260,45799,37973
Самара,2020,6,0,0,10,4,290,8
Самара,2020,9,0,0,25,21,191,923
Самара,2020,12,0,0,129,128,22419,17919
Санкт-Петербург,2018,3,61,61,4439,4483,494371,485389
Санкт-Петербург,2018,6,61,61,7577,7624,949499,1020010
Санкт-Петербург,2018,9,65,65,8983,8867,1320664,1298552
Санкт-Петербург,2018,12,63,63,5535,5557,676323,687383
Санкт-Петербург,2019,3,64,64,4685,4665,552520,548242
Санкт-Петербург,2019,6,59,59,7348,7302,994331,1041570
Санкт-Петербург,2019,9,74,74,8330,8366,1341041,1371820
Санкт-Петербург,2019,12,70,70,5397,5413,716841,737312
Санкт-Петербург,2020,3,66,65,3721,3722,448558,443018
Санкт-Петербург,2020,6,75,75,161,157,4505,5548
Санкт-Петербург,2020,9,96,66,1106,1152,113214,157711
Санкт-Петербург,2020,12,137,68,1227,1293,120604,144035
Саранск,2019,6,0,0,1,0,50,0
Саранск,2019,9,0,0,0,1,0,48
Саранск,2019,12,0,0,0,0,0,0
Саратов,2018,3,0,0,5,6,245,142
Саратов,2018,6,0,0,33,33,2391,2872
Саратов,2018,9,0,0,2,2,14,19
Саратов,2018,12,0,0,3,2,26,19
Саратов,2019,3,0,0,0,0,0,0
Саратов,2019,6,0,0,15,16,1033,1347
Саратов,2019,9,0,0,35,35,4015,4125
Саратов,2019,12,0,0,23,22,3620,3482
Саратов,2020,3,4,2,4,4,790,466
Саратов,2020,6,0,0,0,0,0,0
Саратов,2020,9,2,3,5,5,69,73
Саратов,2020,12,8,8,5,3,149,109
Симферополь,2018,3,0,0,0,0,0,0
Симферополь,2018,6,0,0,0,0,0,0
Симферополь,2018,9,0,0,0,0,0,0
Симферополь,2018,12,0,0,1,1,15,16
Симферополь,2019,3,0,0,0,0,0,0
Симферополь,2019,6,1,0,0,0,44,0
Симферополь,2019,9,0,0,0,0,0,0
Симферополь,2019,12,0,0,0,0,0,0
Сочи,2018,3,1,2,199,142,16729,15688
Сочи,2018,6,3,3,364,361,27277,26469
Сочи,2018,9,6,5,200,204,13449,14349
Сочи,2018,12,6,9,300,297,22350,27709
Сочи,2019,3,2,1,245,263,20406,19421
Сочи,2019,6,4,7,365,384,35365,33694
Сочи,2019,9,17,18,468,496,49206,52337
Сочи,2019,12,9,12,402,390,29858,32156
Сочи,2020,3,3,7,237,245,21490,22151
Сочи,2020,6,1,0,17,13,356,48
Сочи,2020,9,16,14,112,116,2370,2469
Сочи,2020,12,39,38,35,46,706,1819
Ставрополь,2018,3,0,0,25,25,1391,1444
Ставрополь,2018,6,0,0,5,3,33,17
Ставрополь,2018,9,0,0,7,7,43,61
Ставрополь,2018,12,0,0,5,5,23,37
Ставрополь,2019,3,0,0,1,1,11,3
Ставрополь,2019,6,0,0,8,9,57,47
Ставрополь,2019,9,0,0,11,10,64,54
Ставрополь,2019,12,0,0,5,4,35,27
Ставрополь,2020,3,0,0,4,6,32,32
Ставрополь,2020,6,0,0,0,0,0,0
Ставрополь,2020,9,0,0,4,4,17,17
Ставрополь,2020,12,0,0,5,7,29,35
Сургут,2018,3,0,0,90,90,17835,17263
Сургут,2018,6,3,3,105,104,17781,19756
Сургут,2018,9,0,0,127,123,25319,24073
Сургут,2018,12,0,0,89,81,16206,14740
Сургут,2019,3,0,0,71,76,15670,16278
Сургут,2019,6,0,0,108,103,19523,20944
Сургут,2019,9,0,0,117,117,23865,23274
Сургут,2019,12,0,0,103,105,21492,20975
Сургут,2020,3,88,89,88,89,18719,17103
Сургут,2020,6,10,9,5,3,682,129
Сургут,2020,9,0,1,15,11,462,1232
Сургут,2020,12,0,0,18,14,1353,2153
Сыктывкар,2018,3,0,0,2,3,16,29
Сыктывкар,2018,6,0,0,72,70,11309,13837
Сыктывкар,2018,9,0,0,72,70,19370,18852
Сыктывкар,2018,12,0,0,29,28,5480,3539
Сыктывкар,2019,3,0,0,2,2,17,19
Сыктывкар,2019,6,0,0,64,63,9953,11848
Сыктывкар,2019,9,0,0,97,99,19979,20252
Сыктывкар,2019,12,0,0,44,42,8022,6056
Сыктывкар,2020,3,0,0,3,3,399,220
Сыктывкар,2020,6,0,0,2,2,7,13
Сыктывкар,2020,9,0,0,2,2,13,6
Сыктывкар,2020,12,0,0,1,1,4,5
Таганрог,2018,3,0,0,0,0,0,0
Таганрог,2018,6,0,0,0,0,0,0
Таганрог,2018,9,0,0,0,0,0,0
Таганрог,2018,12,1,0,0,0,8,0
Таганрог,2019,3,0,0,0,0,0,0
Таганрог,2019,6,1,2,0,0,14,22
Таганрог,2019,9,0,1,0,0,0,15
Таганрог,2019,12,1,0,0,0,16,0
Таганрог,2020,3,0,0,0,0,0,0
Таганрог,2020,6,0,1,0,0,0,17
Таганрог,2020,9,0,0,0,0,0,0
Таганрог,2020,12,0,0,0,0,0,0
Томск,2018,3,0,0,35,34,7093,7189
Томск,2018,6,0,0,28,26,5997,6013
Томск,2018,9,0,0,38,38,8206,8318
Томск,2018,12,0,0,38,34,6932,6868
Томск,2019,3,0,0,32,33,7397,7185
Томск,2019,6,0,0,27,26,5220,5549
Томск,2019,9,0,0,21,22,7444,7434
Томск,2019,12,0,0,48,46,8284,8616
Томск,2020,3,0,0,43,39,9185,7799
Томск,2020,6,0,0,1,3,8,20
Томск,2020,9,0,0,1,3,8,20
Томск,2020,12,0,0,7,6,40,30
Тюмень,2018,3,2,3,67,67,13133,12036
Тюмень,2018,6,1,1,166,173,44993,55919
Тюмень,2018,9,3,3,244,236,52944,50609
Тюмень,2018,12,2,1,92,95,17781,14333
Тюмень,2019,3,6,1,50,54,10877,10932
Тюмень,2019,6,2,1,155,150,26690,31510
Тюмень,2019,9,4,2,245,244,52147,51598
Тюмень,2019,12,3,5,93,99,19463,17032
Тюмень,2020,3,71,63,68,64,15902,13132
Тюмень,2020,6,1,0,2,2,113,230
Тюмень,2020,9,3,3,6,6,308,117
Тюмень,2020,12,3,0,9,8,89,7
Улан-Удэ,2018,3,0,1,64,64,3867,3650
Улан-Удэ,2018,6,1,4,81,80,5017,4653
Улан-Удэ,2018,9,0,2,92,89,8137,7830
Улан-Удэ,2018,12,3,9,88,88,4206,4466
Улан-Удэ,2019,3,0,6,90,90,4668,4621
Улан-Удэ,2019,6,0,5,96,99,5360,5182
Улан-Удэ,2019,9,2,4,117,120,8857,7834
Улан-Удэ,2019,12,2,3,51,50,2829,3428
Улан-Удэ,2020,3,4,5,34,35,2700,2556
Улан-Удэ,2020,6,1,4,0,0,10,20
Улан-Удэ,2020,9,7,33,3,3,229,244
Улан-Удэ,2020,12,6,18,3,3,118,197
Ульяновск (Баратаевка),2019,3,0,0,1,1,12,14
Ульяновск (Баратаевка),2019,6,0,0,28,30,4954,5190
Ульяновск (Баратаевка),2019,9,0,0,32,32,5683,6116
Ульяновск (Баратаевка),2019,12,0,0,9,9,1750,1112
Ульяновск (Баратаевка),2020,3,0,0,3,3,12,13
Ульяновск (Баратаевка),2020,6,0,0,0,0,0,0
Ульяновск (Баратаевка),2020,9,0,0,3,2,91,11
Ульяновск (Баратаевка),2020,12,0,0,2,2,10,10
Ульяновск (Восточный),2018,3,5,6,4,5,70,116
Ульяновск (Восточный),2018,6,3,7,37,39,5878,7478
Ульяновск (Восточный),2018,9,4,7,29,28,4972,4717
Ульяновск (Восточный),2018,12,5,11,8,7,1612,928
Ульяновск (Восточный),2019,3,3,3,6,6,95,93
Ульяновск (Восточный),2019,6,11,9,2,2,135,373
Ульяновск (Восточный),2019,9,12,11,1,1,154,150
Ульяновск (Восточный),2019,12,8,10,3,3,88,137
Ульяновск (Восточный),2020,3,2,4,0,0,41,73
Ульяновск (Восточный),2020,6,3,1,0,0,37,10
Ульяновск (Восточный),2020,9,6,6,0,0,68,58
Ульяновск (Восточный),2020,12,16,13,1,0,197,132
Уфа,2018,3,10,5,266,268,43563,42923
Уфа,2018,6,17,13,650,653,113176,124255
Уфа,2018,9,9,14,760,757,144966,142630
Уфа,2018,12,4,6,364,361,66631,58008
Уфа,2019,3,4,6,206,199,36083,36418
Уфа,2019,6,8,9,655,653,116110,127064
Уфа,2019,9,5,7,770,775,153096,153382
Уфа,2019,12,3,2,477,470,88394,80703
Уфа,2020,3,6,6,268,271,50784,43770
Уфа,2020,6,1,2,9,5,472,38
Уфа,2020,9,1,0,23,21,108,1018
Уфа,2020,12,4,3,70,70,9191,9432
Хабаровск,2018,3,3,42,351,353,48299,48461
Хабаровск,2018,6,0,21,381,386,47675,45789
Хабаровск,2018,9,3,12,455,458,59269,57371
Хабаровск,2018,12,4,45,343,376,40774,45699
Хабаровск,2019,3,4,25,348,375,45963,45060
Хабаровск,2019,6,3,27,372,365,48279,46103
Хабаровск,2019,9,14,46,382,376,54170,52612
Хабаровск,2019,12,13,71,360,379,46256,50989
Хабаровск,2020,3,9,68,284,284,45225,37844
Хабаровск,2020,6,21,66,9,8,586,540
Хабаровск,2020,9,24,59,5,5,164,451
Хабаровск,2020,12,37,89,5,8,325,1151
Ханты-Мансийск,2018,3,0,0,2,2,33,125
Ханты-Мансийск,2018,6,0,0,5,6,760,1255
Ханты-Мансийск,2018,9,0,0,11,11,2687,2591
Ханты-Мансийск,2018,12,0,0,3,3,561,284
Ханты-Мансийск,2019,3,0,0,0,0,0,0
Ханты-Мансийск,2019,6,0,0,7,6,1009,1470
Ханты-Мансийск,2019,9,0,0,13,12,3102,2769
Ханты-Мансийск,2019,12,0,0,4,3,499,249
Чебоксары,2018,3,0,0,0,1,0,7
Чебоксары,2018,6,0,0,15,14,2616,3271
Чебоксары,2018,9,0,0,21,21,4494,4342
Чебоксары,2018,12,0,0,8,7,1642,1140
Чебоксары,2019,3,0,0,0,1,0,4
Чебоксары,2019,6,0,0,12,12,2078,2548
Чебоксары,2019,9,0,0,17,17,3886,3872
Чебоксары,2019,12,0,0,8,8,1400,976
Чебоксары,2020,3,0,0,0,0,0,0
Чебоксары,2020,6,0,0,0,0,0,0
Чебоксары,2020,9,0,0,3,3,9,9
Чебоксары,2020,12,0,0,0,0,0,0
Челябинск,2018,3,0,0,86,89,17891,17574
Челябинск,2018,6,2,1,287,287,51767,57553
Челябинск,2018,9,5,3,341,339,68694,66067
Челябинск,2018,12,4,5,161,158,28769,25480
Челябинск,2019,3,0,0,76,71,15509,13914
Челябинск,2019,6,0,0,253,252,45160,49430
Челябинск,2019,9,0,0,322,317,64893,64348
Челябинск,2019,12,0,0,175,174,33236,29349
Челябинск,2020,3,1,0,67,65,14942,12364
Челябинск,2020,6,1,0,5,5,37,24
Челябинск,2020,9,0,0,20,16,136,88
Челябинск,2020,12,0,0,3,2,28,6
Череповец,2018,3,0,0,5,5,66,67
Череповец,2018,6,0,0,11,12,113,318
Череповец,2018,9,0,0,28,30,939,735
Череповец,2018,12,0,0,3,9,53,286
Череповец,2019,3,0,0,5,3,151,46
Череповец,2019,6,0,0,13,10,125,282
Череповец,2019,9,0,0,21,23,533,422
Череповец,2019,12,0,0,5,6,46,140
Череповец,2020,3,0,0,4,5,95,86
Череповец,2020,6,0,0,4,3,24,18
Череповец,2020,9,0,0,5,7,12,146
Череповец,2020,12,1,0,10,8,80,185
Чита,2018,3,0,0,26,27,2308,2234
Чита,2018,6,0,0,17,17,2268,2262
Чита,2018,9,34,34,44,45,3247,3350
Чита,2018,12,0,0,41,39,4494,4373
Чита,2019,3,0,0,28,27,2692,2343
Чита,2019,6,0,0,44,45,4352,4782
Чита,2019,9,8,8,46,46,6173,5891
Чита,2019,12,0,0,43,42,5999,6293
Чита,2020,3,0,0,27,25,4514,3720
Чита,2020,6,0,0,0,0,0,0
Чита,2020,9,0,0,0,0,0,0
Чита,2020,12,0,0,3,3,617,4
Чкаловский,2018,3,96,86,89,80,5155,5098
Чкаловский,2018,6,89,87,65,59,5559,4629
Чкаловский,2018,9,66,72,66,72,3385,3042
Чкаловский,2018,12,37,46,60,64,4919,5245
Чкаловский,2019,3,30,35,53,51,4550,5944
Чкаловский,2019,6,28,30,41,48,4284,5234
Чкаловский,2019,9,47,65,47,49,5869,6879
Чкаловский,2019,12,54,46,70,67,4443,5080
Чкаловский,2020,3,101.5,64.5,56.5,59,5392.5,5181
Чкаловский,2020,6,149,83,43,51,6342,5282
Чкаловский,2020,9,63,66,60,62,6572,6778
Чкаловский,2020,12,39,59,70,64,6867,6889
Южно-Сахалинск,2018,3,18,18,187,187,15293,14895
Южно-Сахалинск,2018,6,21,19,198,194,15903,15211
Южно-Сахалинск,2018,9,21,22,202,202,18165,17153
Южно-Сахалинск,2018,12,26,25,287,286,18939,20848
Южно-Сахалинск,2019,3,18,18,191,192,14952,14481
Южно-Сахалинск,2019,6,22,21,212,210,16387,15530
Южно-Сахалинск,2019,9,19,20,190,189,16507,15611
Южно-Сахалинск,2019,12,17,18,194,197,16642,17131
Южно-Сахалинск,2020,3,13,13,154,154,12314,10334
Южно-Сахалинск,2020,6,15,17,12,8,293,216
Южно-Сахалинск,2020,9,4,4,2,2,76,58
Южно-Сахалинск,2020,12,4,12,12,8,183,236
Якутск,2018,3,1,2,25,25,2164,2240
Якутск,2018,6,0,12,33,37,3665,3066
Якутск,2018,9,0,8,46,61,4716,4665
Якутск,2018,12,0,14,21,20,2454,2303
Якутск,2019,3,0,11,7,6,997,1044
Якутск,2019,6,0,3,34,34,3170,3486
Якутск,2019,9,0,3,59,57,6972,6925
Якутск,2019,12,0,16,45,50,3768,4218
Якутск,2020,3,0,14,25,26,2344,1937
Якутск,2020,6,1,37,0,0,9,293
Якутск,2020,9,0,40,1,2,35,414
Якутск,2020,12,1,44,0,0,3,283
Ярославль,2018,3,2,0,2,3,37,15
Ярославль,2018,6,2,2,3,0,37,16
Ярославль,2018,9,5,4,3,0,86,121
Ярославль,2018,12,6,9,5,3,270,136
Ярославль,2019,3,3,0,4,3,183,155
Ярославль,2019,6,3,4,0,0,30,34
Ярославль,2019,9,1,0,5,4,214,155
Ярославль,2019,12,0,0,6,4,13,12
Ярославль,2020,3,2,1,7,7,284,269
Ярославль,2020,6,0,0,0,0,0,0
Ярославль,2020,9,0,0,0,0,0,0
Ярославль,2020,12,0,0,2,6,47,223
