city,year,quarter,freight_in,freight_out,pass_in,pass_out,ind_in,ind_out
Город,Год,Квартал,"Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество физических лиц, проследовавших через пункт пропуска","Количество физических лиц, проследовавших через пункт пропуска"
,,,В Россию,Из России,В Россию,Из России,В Россию,Из России
Брянск,2019,3,0,0,1,1,2,1
Брянск,2019,6,0,0,6,6,553,768
Брянск,2019,9,0,0,17,14,1721,1714
Брянск,2019,12,0,0,2,4,191,98
Брянск,2020,3,0,0,5,3,15,13
Брянск,2020,6,0,0,4,4,14,20
Брянск,2020,9,0,0,4,4,14,12
Брянск,2020,12,0,0,0,0,0,0
Владивосток,2018,3,27,37,914,936,105549,101372
Владивосток,2018,6,17,13,1079,1110,133268,133845
Владивосток,2018,9,42,42,1570,1579,199672,195083
Владивосток,2018,12,18,15,1379,1386,136356,151287
Владивосток,2019,3,0,0,1316,1318,155090,144519
Владивосток,2019,6,10,16,1529,1538,175003,167225
Владивосток,2019,9,2,5,1806,1807,245546,240063
Владивосток,2019,12,4,4,1323,1328,158113,177362
Владивосток,2020,3,6,5,924,923,112758,97185
Владивосток,2020,6,6,7,51,58,3341,849
Владивосток,2020,9,8,10,53,63,3181,4779
Владивосток,2020,12,11,10,48,61,2347,2500
Владикавказ,2018,3,0,0,5,4,106,104
Владикавказ,2018,6,0,0,12,12,1957,1840
Владикавказ,2018,9,0,0,41,47,5338,6818
Владикавказ,2018,12,0,0,13,7,928,1252
Владикавказ,2019,3,0,0,3,3,21,18
Владикавказ,2019,6,0,0,3,3,2713,3491
Владикавказ,2019,9,0,0,31,31,5841,5781
Владикавказ,2019,12,0,0,12,12,1489,916
Владикавказ,2020,3,0,0,3,3,8,5
Владикавказ,2020,6,0,0,2,2,4,0
Владикавказ,2020,9,0,0,5,5,16,19
Владикавказ,2020,12,0,0,1,2,3,9
Волгоград,2018,3,0,0,35,37,6233,5824
Волгоград,2018,6,0,0,125,121,19173,22705
Волгоград,2018,9,0,0,294,293,27201,26128
Волгоград,2018,12,0,0,52,50,9642,8283
Волгоград,2019,3,0,0,12,15,1452,1518
Волгоград,2019,6,0,0,96,95,17129,19516
Волгоград,2019,9,0,0,146,137,28976,27182
Волгоград,2019,12,0,0,52,48,10018,8165
Волгоград,2020,3,0,0,15,14,2392,2153
Волгоград,2020,6,0,0,4,4,34,15
Волгоград,2020,9,0,0,4,6,17,41
Волгоград,2020,12,1,1,4,3,147,11
Воронеж,2018,3,0,0,102,100,10687,10178
Воронеж,2018,6,0,0,267,266,36761,41162
Воронеж,2018,9,0,0,353,349,55559,55340
Воронеж,2018,12,0,0,144,141,20587,18526
Воронеж,2019,3,0,0,93,91,10911,10749
Воронеж,2019,6,0,0,293,289,44007,49429
Воронеж,2019,9,0,0,332,327,61731,62270
Воронеж,2019,12,0,0,177,178,27558,22755
Воронеж,2020,3,0,0,86,85,10833,11654
Воронеж,2020,6,0,0,7,3,34,145
Воронеж,2020,9,0,0,15,10,74,40
Воронеж,2020,12,0,0,11,8,73,556
Геленджик,2018,3,0,0,0,0,0,0
Геленджик,2018,6,0,0,2,3,121,23
Геленджик,2018,9,0,0,1,2,13,32
Геленджик,2018,12,0,0,1,0,13,0
Геленджик,2019,3,0,0,0,0,0,0
Геленджик,2019,6,0,0,0,0,0,0
Геленджик,2019,9,0,0,0,0,0,0
Геленджик,2019,12,0,0,0,0,0,0
Геленджик,2020,3,0,0,0,0,0,0
Геленджик,2020,6,0,0,0,0,0,0
Геленджик,2020,9,0,0,0,1,0,6
Геленджик,2020,12,0,0,0,1,0,6
Грозный,2018,3,1,0,63,68,7573,7580
Грозный,2018,6,0,0,105,104,13479,10930
Грозный,2018,9,0,0,171,174,19395,20380
Грозный,2018,12,0,0,134,123,14841,13385
Грозный,2019,3,0,0,110,112,11932,11491
Грозный,2019,6,0,0,144,142,18450,15602
Грозный,2019,9,0,0,214,215,27973,28148
Грозный,2019,12,0,0,128,130,17617,16967
Грозный,2020,3,0,0,90,89,14205,13068
Грозный,2020,6,0,0,9,11,60,62
Грозный,2020,9,0,0,23,25,318,361
Грозный,2020,12,0,0,133,132,13488,13315
Екатеринбург,2018,3,57,49,1120,1139,182930,171990
Екатеринбург,2018,6,160,161,2370,2389,380530,367611
Екатеринбург,2018,9,70,69,1865,1925,356037,354069
Екатеринбург,2018,12,60,53,1237,1247,189379,187951
Екатеринбург,2019,3,55,47,1004,1001,159944,151696
Екатеринбург,2019,6,55,38,1481,1486,263818,277448
Екатеринбург,2019,9,77,55,1539,1548,336007,334551
Екатеринбург,2019,12,109,99,1197,1204,214551,210802
Екатеринбург,2020,3,96,95,773,776,137423,116406
Екатеринбург,2020,6,360,368,24,35,4199,4452
Екатеринбург,2020,9,238,234,92,87,4238,8056
Екатеринбург,2020,12,869,878,124,115,10999,17425
Жуковский,2018,3,15,15,371,370,60803,56216
Жуковский,2018,6,17,24,262,272,40555,42723
Жуковский,2018,9,25,24,578,584,109898,110097
Жуковский,2018,12,17,33,517,524,75832,93620
Жуковский,2019,3,15,15,538,542,89409,69290
Жуковский,2019,6,23,20,650,636,103552,94534
Жуковский,2019,9,16,15,470,480,86286,90795
Жуковский,2019,12,15,14,625,636,75941,109715
Жуковский,2020,6,65,16,6,5,664,232
Жуковский,2020,9,85,78,38,36,3831,3636
Жуковский,2020,12,79,68,65,60,7773,3589
Иркутск,2018,3,0,0,487,488,74357,73756
Иркутск,2018,6,1,1,508,510,68193,64313
Иркутск,2018,9,0,0,796,796,104215,104026
Иркутск,2018,12,11,12,545,546,68165,78413
Иркутск,2019,3,0,3,630,634,96975,94837
Иркутск,2019,6,1,2,533,543,76286,71965
Иркутск,2019,9,0,0,783,787,108309,110940
Иркутск,2019,12,2,4,575,570,77569,90148
