index_date,index_value
2017-10-13,38351
2017-10-16,38349
2017-10-17,38353
2017-10-18,38348
2017-10-19,38350
2017-10-20,38352
2017-10-23,38348
2017-10-24,38354
2017-10-25,38351
2017-10-26,38578
2017-10-27,38850
2017-10-30,39350
2017-10-31,39524
2017-11-01,39944
2017-11-02,40018
2017-11-03,40191
2017-11-07,40043
2017-11-08,40065
2017-11-09,40046
2017-11-10,40340
2017-11-13,39995
2017-11-14,39999
2017-11-15,40051
2017-11-16,40189
2017-11-17,40190
2017-11-20,40186
2017-11-21,40187
2017-11-22,40095
2017-11-23,40513
2017-11-24,41049
2017-11-27,43011
2017-11-28,43152
2017-11-29,43204
2017-11-30,43302
2017-12-01,43302
2017-12-04,43273
2017-12-05,43260
2017-12-06,43279
2017-12-07,43480
2017-12-08,43454
2017-12-11,43709
2017-12-12,43706
2017-12-13,43706
2017-12-14,43720
2017-12-15,43384
2017-12-18,43003
2017-12-19,43045
2017-12-20,43064
2017-12-21,43042
2017-12-22,43330
2018-01-09,42575
2018-01-10,42581
2018-01-11,42665
2018-01-12,42555
2018-01-15,42600
2018-01-16,42619
2018-01-17,42665
2018-01-18,42656
2018-01-19,42734
2018-01-22,42643
2018-01-23,42612
2018-01-24,42594
2018-01-25,42589
2018-01-26,42580
2018-01-29,42546
2018-01-30,42548
2018-01-31,42543
2018-02-01,42553
2018-02-02,42544
2018-02-05,42559
2018-02-06,42612
2018-02-07,42563
2018-02-08,42616
2018-02-09,42552
2018-02-12,42531
2018-02-13,42609
2018-02-14,42651
2018-02-15,42627
2018-02-16,42558
2018-02-19,42620
2018-02-20,42610
2018-02-21,42071
2018-02-22,41528
2018-02-26,40763
2018-02-27,40752
2018-02-28,40789
2018-03-01,40567
2018-03-02,40558
2018-03-05,40465
2018-03-06,40513
2018-03-07,40592
2018-03-12,40850
2018-03-13,40806
2018-03-14,40798
2018-03-15,40833
2018-03-16,40887
2018-03-19,41022
2018-03-20,41019
2018-03-21,40668
2018-03-22,40664
2018-03-23,40216
2018-03-26,40836
2018-03-27,40869
2018-03-28,40849
2018-03-29,40781
2018-03-30,40844
2018-04-02,40817
2018-04-03,40745
2018-04-04,40516
2018-04-05,40450
2018-04-06,40440
2018-04-09,40440
2018-04-10,40450
2018-04-11,40434
2018-04-12,40435
2018-04-13,40473
2018-04-16,40465
2018-04-17,40580
2018-04-18,40575
2018-04-19,40576
2018-04-20,41786
2018-04-23,44000
2018-04-24,44500
2018-04-25,44434
2018-04-26,44318
2018-04-27,44608
2018-04-28,44624
2018-05-03,44317
2018-05-04,44404
2018-05-07,44414
2018-05-08,44464
2018-05-10,44464
2018-05-11,44498
2018-05-14,44531
2018-05-15,44473
2018-05-16,44489
2018-05-17,44461
2018-05-18,44424
2018-05-21,45854
2018-05-22,46949
2018-05-23,47752
2018-05-24,48104
2018-05-25,48099
2018-05-28,48096
2018-05-29,48101
2018-05-30,48098
2018-05-31,48100
2018-06-01,48099
2018-06-04,48097
2018-06-05,48099
2018-06-06,48105
2018-06-07,48112
2018-06-08,48180
2018-06-09,48167
2018-06-13,48173
2018-06-14,48140
2018-06-15,48215
2018-06-18,48057
2018-06-19,48084
2018-06-20,47861
2018-06-21,47693
2018-06-22,47952
2018-06-25,47957
2018-06-26,47955
2018-06-27,47550
2018-06-28,47225
2018-06-29,46960
2018-07-02,46945
2018-07-03,46928
2018-07-04,46968
2018-07-05,46978
2018-07-06,46982
2018-07-09,46985
2018-07-10,46993
2018-07-11,46888
2018-07-12,47033
2018-07-13,47045
2018-07-16,47045
2018-07-17,47075
2018-07-18,47095
2018-07-19,47013
2018-07-20,47006
2018-07-23,47006
2018-07-24,47006
2018-07-25,47008
2018-07-26,46992
2018-07-27,46613
2018-07-30,46402
2018-07-31,46407
2018-08-01,46406
2018-08-02,46394
2018-08-03,46366
