,Unnamed: 0,V1,V2,V3,V4
0,1,"Область, край,",Автомобильный бензин Дизтопливо,,Мазут
1,2,республика,Нормаль-80 Регуляр-92 Премиум-95 ДТЗ,ДТЛ,М-100
2,3,Пермский край,29100 - 29300 31400 - 31600 32800 - 33000 35200 - 35400,,10200 - 10400
3,4,,+600,,
4,5,Республика Башкортостан,28000 - 28200 30800 - 31000 31800 - 32000 33500 - 33700,,6600 - 6800
5,6,Республика Татарстан,29100 - 29300 31300 - 31500 33400 - 33600 34500 - 34700,,7600 - 7800
6,7,,+200 -300,,
7,8,Самарская область,30900 - 31100 32300 - 32500 34200 - 34400,28900 - 29100,9500 - 9700
8,9,,+400,,
9,10,Саратовская область,31100 - 31300 32600 - 32800 34000 - 34200,29700 - 29900,9500 - 9700
10,11,,+300 +1000 -600,,
11,12,Ульяновская область,31100 - 31300 32300 - 32500 34200 - 34400,,8300 - 8500
12,13,,+300 +800 -200,,
13,14,,ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,,
14,15,Астраханская область,30000 - 30200 31700 - 31900 33100 - 33300,29300 - 29500,9500 - 9700
15,16,,+600 +900,,
16,17,Волгоградская область,31400 - 31600 32900 - 33100 34400 - 34600,31300 - 31500,9800 - 10000
17,18,,+600 +500,,
18,19,Краснодарский край,30300 - 30500 32200 - 32400 33700 - 33900,30800 - 31000,10000 - 10200
19,20,,+700 +1000,,
20,21,Ростовская область,32000 - 32200 33500 - 33700,30600 - 30800,9800 - 10000
21,22,,+600 +1000,,
22,23,,СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,,
23,24,Ставропольский край,30500 - 30700 32400 - 32600 33900 - 34100,31000 - 31200,10200 - 10400
24,25,,+700 +1000,,
25,26,,УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,,
26,27,Курганская область,28900 - 29100 31200 - 31400 32200 - 32400 34800 - 35000,,9700 - 9900
27,28,,+200 +300,,
28,29,Свердловская область,28900 - 29100 31500 - 31700 32800 - 33000 34500 - 34700,,8400 - 8600
29,30,,+300 +200,,
30,31,Тюменская область,29800 - 30000 31300 - 31500 32400 - 32600 36300 - 36500,,8000 - 8200
31,32,,+100 +800,,
32,33,Челябинская область,31300 - 31500 32700 - 32900 34800 - 35000,,8200 - 8400
33,34,,+200,,
34,35,,СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,,
35,36,Алтайский край,32300 - 32500 33800 - 34000 35000 - 35200,,10100 - 10300
36,37,,+600,,
37,38,Иркутская область,31300 - 31500 33300 - 33500 34700 - 34900 34300 - 34500,,12100 - 12300
38,39,,+300 +200 -200,,
39,40,Кемеровская область,30400 - 30600 31900 - 32100 33700 - 33900 35700 - 35900,,9300 - 9500
40,41,,+400 +400 -300,,
41,42,Красноярский край,32900 - 33100 34100 - 34300 34900 - 35100,,11100 - 11300
42,43,,+900 +700 -200,,
43,44,Новосибирская область,29500 - 29700 32200 - 32400 33600 - 33800 35300 - 35500,,10900 - 11100
44,45,,+700,,
45,46,Томская область,32500 - 32700 33700 - 33900 35700 - 35900,,11600 - 11800
46,47,,+800 +200,,
47,48,,ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,,
48,49,Приморский край,33300 - 33500 36000 - 36200 38500 - 38700 37000 - 37200,32400 - 32600,16900 - 17100
49,50,Хабаровский край,32700 - 32900 35100 - 35300 37600 - 37800 36700 - 36900,32000 - 32200,16200 - 16400
