Федеральный округ,Субъект федерации,Название,2012,2013,2014,2015,2016,2017,2018,2019
Дальневосточный,Республика Саха (Якутия),Якутская ГРЭС,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Хабаровский край,Комсомольская ТЭЦ-3,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Южный,Краснодарский край,Адлерская ТЭС,2845.9858333333336,2995.8775,3273.689166666666,3614.625833333334,3963.8025,4921.9825,4593.0250000000015,4679.065714285714
Сибирский,Томская область,Томская ГРЭС-2,1620.4083333333335,1676.006666666667,1809.54,2097.6066666666666,2227.1,2932.6966666666667,2988.995000000001,3154.558571428571
Центральный,Ивановская область,Ивановские ПГУ,2660.5925,2863.5975,3181.601666666667,3233.6116666666667,3437.669166666667,4029.4775,4267.909166666667,4487.131428571428
Дальневосточный,Хабаровский край,Амурская ТЭЦ-1,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Приволжский,Республика Башкортостан,Благовещенская ТЭЦ,1980.8891666666668,2258.12,2362.311666666667,2415.815,2600.5775,3426.0016666666656,3622.26,3861.187142857143
Дальневосточный,Амурская область,Благовещенская ТЭЦ,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Хабаровский край,Комсомольская ТЭЦ-2,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Камчатский край,Камчатская ТЭЦ-1,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Магаданская область,Аркагалинская ГРЭС,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Приморский край,Партизанская ГРЭС,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Южный,Краснодарский край,Джубгинская ТЭС,2845.9858333333336,2995.8775,3273.689166666666,3614.625833333334,3963.8025,4921.9825,4593.0250000000015,4679.065714285714
Дальневосточный,Республика Саха (Якутия),Электростанции Сахаэнерго,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Камчатский край,Камчатская ТЭЦ-2,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Южный,Краснодарский край,Сочинская ТЭС,2845.9858333333336,2995.8775,3273.689166666666,3614.625833333334,3963.8025,4921.9825,4593.0250000000015,4679.065714285714
Сибирский,Томская область,Томская ТЭЦ-3,1620.4083333333335,1676.006666666667,1809.54,2097.6066666666666,2227.1,2932.6966666666667,2988.995000000001,3154.558571428571
Дальневосточный,Хабаровский край,Николаевская ТЭЦ,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Амурская область,Райчихинская ГРЭС,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Магаданская область,Магаданская ТЭЦ,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Республика Саха (Якутия),Центральные ЭС [Якутскэнерго],2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Чукотский автономный округ,Анадырская ТЭЦ,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Сахалинская область,Сахалинская ГРЭС,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Северо-Кавказский,Кабардино-Балкарская Республика,Майская ГРЭС,2905.349166666667,3008.3191666666667,3127.1941666666667,3235.0291666666667,3354.6508333333336,3921.493333333334,4118.514166666666,4497.65
Дальневосточный,Республика Саха (Якутия),Западные ЭС [Якутскэнерго],2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Камчатский край,ДЭС ЮЭС,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Республика Саха (Якутия),Чульманская ТЭЦ,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Приморский край,ГТЭС Владивостокской ТЭЦ-1,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Чукотский автономный округ,Чаунская ТЭЦ,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Чукотский автономный округ,Эгвекинотская ГРЭС,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Сибирский,Томская область,Томская ТЭЦ-1,1620.4083333333335,1676.006666666667,1809.54,2097.6066666666666,2227.1,2932.6966666666667,2988.995000000001,3154.558571428571
Дальневосточный,Республика Саха (Якутия),Якутская ТЭЦ,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Камчатский край,Центральные ЭС Камчатскэнерго,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Республика Саха (Якутия),Депутатская ТЭЦ,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Дальневосточный,Сахалинская область,Новиковская ДЭС,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
