,Дальневосточный федеральный округ,Приволжский федеральный округ,Российская Федерация,Северо-Западный федеральный округ,Северо-Кавказский федеральный округ,Сибирский федеральный округ,Уральский федеральный округ,Южный федеральный округ
2012-01-01,"10070,9","10274,43","9847,19","10178,87","11550,26","10097,21",9571,"11298,75"
2012-02-01,"10061,05","11000,84","10472,49","10089,59","11195,14","10598,68","10273,2","11276,16"
2012-03-01,"11303,21","12432,82","11782,6","12600,96","12167,95","11723,62","11473,56","12243,75"
2012-04-01,"11294,1","11838,27","11890,94","12433,36","12284,04","10549,85","12113,9","11198,24"
2012-05-01,"10334,54","9851,92","9917,36","9786,34","10528,29","9594,23","9988,43","10525,7"
2012-06-01,"10328,6","9328,77","9295,04","8813,05","8838,8","9414,16","9261,01","10224,13"
2012-07-01,"9000,55","7645,31","7903,23","6983,41","6630,45","8009,6","8016,98","9727,74"
2012-08-01,"11341,46","10655,22","10312,48","11438,75","10733,05","11503,03","9807,22","11825,09"
2012-09-01,"11333,96","13554,54","13014,23","13524,65","12734,72","11652,2","13039,69","12336,78"
2012-10-01,"10884,82","11535,58","11564,35","11570,4","10881,7","10508,97","11796,61","11147,05"
2012-11-01,"10195,64","10504,76","10687,65","11068,13","10331,68","10269,28","10808,98","10885,53"
2012-12-01,"10187,75","10770,24","10517,07","11356,32","10545,02","10107,88","10414,02","11496,06"
2013-01-01,"17689,84","10828,36","10777,78","11167,97","11603,89","10801,09","10340,14","12845,14"
2013-02-01,"26022,49","11324,5","10996,24","10991,19","12268,22","10721,49","10638,51","13010,59"
2013-03-01,"18508,36","11363,01","11232,26","11321,96","12688,14","10600,96","10826,14","14248,12"
2013-04-01,"16636,34","9899,65","10011,27","9927,5","10833,85","9856,72","9748,98","12205,82"
2013-05-01,"17060,44","9289,14","9566,06","9542,07","9659,47","9443,16","9276,04","12022,65"
2013-06-01,"18148,78","10267,54","10218,21","10916,03","11030,28","10849,02","9552,65","12814,57"
2013-07-01,"17774,68","10950,65","10964,38","11666,24","11323,08","10590,41","10674,96","12659,79"
2013-08-01,"18293,59","11877,29","11609,43","13051,91","13087,86","11901,85","11141,85","14324,46"
2013-09-01,"19091,82","12750,62","12486,91","13254,01","13613,42","12031,44","12154,91","14352,62"
2013-10-01,"19678,71","11393,26","11829,82","11896,05","13652,41","10756,47","11782,62","13426,36"
2013-11-01,"18974,12","10466,46","10684,29","11217,05","12171,28","11041,2","10345,4","13154,23"
2013-12-01,"19799,25","11285,14","11636,51","11667,34","12146,84","11747,69","11343,63","14207,18"
2014-01-01,"19176,43","12119,62","11974,86","13200,93","13549,44","11985,45",11354,"14176,42"
2014-02-01,"20783,84","11248,51","11524,04","12148,95","12471,14","11512,24","11051,91","13345,73"
2014-03-01,"20220,35","12164,21","12472,03","12902,95","13951,02","12003,86","12094,28","15018,73"
2014-04-01,"21255,39","12545,06","12747,32","13233,62","13605,03","12297,26","12292,67","16162,22"
2014-05-01,"19465,34","12550,47","12320,03","13115,28","13555,16","11006,51","11800,85",15989
2014-06-01,"21162,96","12999,41","12767,74","13614,05","14245,72","11147,12","12219,01","16030,39"
2014-07-01,"20833,48","12485,92","12642,69","13656,07","14023,2","11750,06","12240,68","14913,19"
2014-08-01,"20617,09","11845,34","11856,07","12196,45","13074,01","10374,52","11535,91","14072,11"
2014-09-01,"19882,53","11038,77","11066,1","11506,45","11842,81","10104,88","10615,2","13630,97"
2014-10-01,"20715,94","11091,29","11335,91","10641,04","12310,84","10444,19","11051,59","13797,2"
2014-11-01,"18446,07","10114,94","10304,1","10201,55","11370,33","9458,77","10016,25","12687,44"
2014-12-01,"19833,22","9853,93","10029,52","9007,57","10532,15","8991,11","9740,19","12988,31"
2015-01-01,"18799,4","9537,8","9228,72","9542,29","7900,9","9923,82","8361,45","9901,23"
2015-02-01,"17902,71","10042,4","9710,07","10454,91","8734,8","11791,35","8542,24","12665,4"
2015-03-01,"24049,78","15796,78","13795,52","16517,03","17345,31","16260,57","11265,06","20694,01"
2015-04-01,"22599,67","14733,09","15202,73","15291,97","16430,38","14457,52","14982,8","18516,82"
2015-05-01,"19205,83","14209,57","13911,89","13564,71","14562,26","14018,93","13348,6","17538,37"
2015-06-01,"21836,81","14944,81","15253,42","16565,23","14590,23","14517,44","14827,45","18561,27"
2015-07-01,"21591,98","14173,87","14394,3","14372,2","14448,62","14605,22","13826,82","17560,93"
2015-08-01,"20049,93","13192,85","13282,83","12431,5","14267,44","13126,02","12893,2","16540,61"
2015-09-01,"19258,05","11632,68","11598,65","10391,29","11102,61","11542,94","11148,11","15318,43"
2015-10-01,"18753,14","13498,63","13332,08","12442,57","14142,54","13488,26","12835,46","16963,6"
2015-11-01,"19543,68","13493,73","13519,87","13804,14","14247,15","12545,68","13219,24","16172,33"
2015-12-01,"18604,51","11857,93","11727,07","11706,98","12534,42","11451,8","11179,21","14873,13"
2016-01-01,"17869,62","10074,19","10409,19","9661,05","10761,69",10973,"9864,36","12985,08"
2016-02-01,"14070,6","8423,27","8465,51","7969,7","8857,5","8248,18","8120,66","10958,16"
2016-03-01,"17006,78","10279,86","10823,66","10528,69","11395,19","11527,72","10392,77","13216,65"
2016-04-01,"18384,22","13302,13","13321,68",14282,"12442,79","12730,41","12950,01","15451,58"
2016-05-01,"18842,05","13277,9","13175,04","12838,44","13329,97","13380,58","12655,17","15237,47"
2016-06-01,"19976,16","14268,35","14485,52","15826,2","14205,61","14286,16","14072,12","16885,51"
2016-07-01,"20946,24","14236,86","14345,38","14110,18","14881,03","13755,26","14004,37","16911,26"
2016-08-01,"18759,06","12686,17","12899,89","12332,62","12858,59","12462,08","12667,38","15008,73"
2016-09-01,"15808,77","13271,7","13247,28","12985,03","13459,95","13778,41","12959,03",15852
2016-10-01,"18959,46","13259,32","13721,8","14217,51","13696,04","13887,76","13399,58","16734,78"
2016-11-01,"20323,54","13768,29","14084,46","14240,36","14126,05","15009,37","13428,66","17964,05"
2016-12-01,"18550,42","12872,82","13173,06","12381,22","12523,48","13833,22","12746,39","16430,22"
2017-01-01,"22136,01","15162,82","15493,3","16896,12","15572,81","16756,71","14372,18","21129,49"
2017-02-01,"23643,05","15888,51","16424,34","16891,38","15873,2","16871,15","15586,67","20745,09"
2017-03-01,"22968,6","14993,52","15702,44","16167,51","15304,12","16313,92","14863,24","19741,52"
2017-04-01,"21832,21","13994,13","14395,7","14123,86","13807,98","14261,98","13711,39","18638,06"
2017-05-01,"21028,68","13342,53","14302,52","14894,71","14120,67","14388,03","13754,26","18941,34"
2017-06-01,"19954,94","13239,07","14176,37","14138,25","14405,85","14291,47","13783,92","18825,94"
