Федеральный округ,Субъект федерации,Название,2012,2013,2014,2015,2016,2017,2018,2019
Приволжский,Республика Башкортостан,Благовещенская ТЭЦ,0.0023226,0.0023226,0.0023226,0.0023226,0.0023226,0.0023226,0.0023226,0.0023226
Дальневосточный,Амурская область,Благовещенская ТЭЦ,0.0023226,0.0023226,0.0023226,0.0023226,0.0023226,0.0023226,0.0023226,0.0023226
Дальневосточный,Хабаровский край,Комсомольская ТЭЦ-2,0.0025438,0.0025438,0.0025438,0.0025438,0.0025438,0.0025438,0.0025438,0.0025438
Дальневосточный,Камчатский край,Камчатская ТЭЦ-1,0.00274638,0.00274638,0.00274638,0.00274638,0.00274638,0.00274638,0.00274638,0.00274638
Дальневосточный,Магаданская область,Аркагалинская ГРЭС,0.00796698,0.00796698,0.00796698,0.00796698,0.00796698,0.00796698,0.00796698,0.00796698
Дальневосточный,Приморский край,Партизанская ГРЭС,0.0032536,0.0032536,0.0032536,0.0032536,0.0032536,0.0032536,0.0032536,0.0032536
Южный,Краснодарский край,Джубгинская ТЭС,0.002072,0.002072,0.002072,0.002072,0.002072,0.002072,0.002072,0.002072
Дальневосточный,Республика Саха (Якутия),Электростанции Сахаэнерго,0.00283465,0.00283465,0.00283465,0.00283465,0.00283465,0.00283465,0.00283465,0.00283465
Дальневосточный,Камчатский край,Камчатская ТЭЦ-2,0.00219793,0.00219793,0.00219793,0.00219793,0.00219793,0.00219793,0.00219793,0.00219793
Южный,Краснодарский край,Сочинская ТЭС,0.0018641,0.0018641,0.0018641,0.0018641,0.0018641,0.0018641,0.0018641,0.0018641
Сибирский,Томская область,Томская ТЭЦ-3,0.00187873,0.00187873,0.00187873,0.00187873,0.00187873,0.00187873,0.00187873,0.00187873
Дальневосточный,Хабаровский край,Николаевская ТЭЦ,0.0035938000000000007,0.0035938000000000007,0.0035938000000000007,0.0035938000000000007,0.0035938000000000007,0.0035938000000000007,0.0035938000000000007,0.0035938000000000007
Дальневосточный,Амурская область,Райчихинская ГРЭС,0.0038031,0.0038031,0.0038031,0.0038031,0.0038031,0.0038031,0.0038031,0.0038031
Дальневосточный,Магаданская область,Магаданская ТЭЦ,0.00326802,0.00326802,0.00326802,0.00326802,0.00326802,0.00326802,0.00326802,0.00326802
Дальневосточный,Республика Саха (Якутия),Центральные ЭС [Якутскэнерго],0.00342552,0.00342552,0.00342552,0.00342552,0.00342552,0.00342552,0.00342552,0.00342552
Дальневосточный,Чукотский автономный округ,Анадырская ТЭЦ,0.0032998000000000003,0.0032998000000000003,0.0032998000000000003,0.0032998000000000003,0.0032998000000000003,0.0032998000000000003,0.0032998000000000003,0.0032998000000000003
Дальневосточный,Сахалинская область,Сахалинская ГРЭС,0.00424452,0.00424452,0.00424452,0.00424452,0.00424452,0.00424452,0.00424452,0.00424452
Северо-Кавказский,Кабардино-Балкарская Республика,Майская ГРЭС,0.004732699999999999,0.004732699999999999,0.004732699999999999,0.004732699999999999,0.004732699999999999,0.004732699999999999,0.004732699999999999,0.004732699999999999
Дальневосточный,Республика Саха (Якутия),Западные ЭС [Якутскэнерго],0.00434413,0.00434413,0.00434413,0.00434413,0.00434413,0.00434413,0.00434413,0.00434413
Дальневосточный,Камчатский край,ДЭС ЮЭС,0.00263263,0.00263263,0.00263263,0.00263263,0.00263263,0.00263263,0.00263263,0.00263263
Дальневосточный,Республика Саха (Якутия),Чульманская ТЭЦ,0.0048111,0.0048111,0.0048111,0.0048111,0.0048111,0.0048111,0.0048111,0.0048111
Дальневосточный,Приморский край,ГТЭС Владивостокской ТЭЦ-1,0.0026495,0.0026495,0.0026495,0.0026495,0.0026495,0.0026495,0.0026495,0.0026495
Дальневосточный,Чукотский автономный округ,Чаунская ТЭЦ,0.00429821,0.00429821,0.00429821,0.00429821,0.00429821,0.00429821,0.00429821,0.00429821
Дальневосточный,Чукотский автономный округ,Эгвекинотская ГРЭС,0.00427455,0.00427455,0.00427455,0.00427455,0.00427455,0.00427455,0.00427455,0.00427455
Сибирский,Томская область,Томская ТЭЦ-1,0.00173173,0.00173173,0.00173173,0.00173173,0.00173173,0.00173173,0.00173173,0.00173173
Дальневосточный,Республика Саха (Якутия),Якутская ТЭЦ,0.00330225,0.00330225,0.00330225,0.00330225,0.00330225,0.00330225,0.00330225,0.00330225
Дальневосточный,Камчатский край,Центральные ЭС Камчатскэнерго,0.0027013,0.0027013,0.0027013,0.0027013,0.0027013,0.0027013,0.0027013,0.0027013
Дальневосточный,Республика Саха (Якутия),Депутатская ТЭЦ,0.004879,0.004879,0.004879,0.004879,0.004879,0.004879,0.004879,0.004879
Дальневосточный,Сахалинская область,Новиковская ДЭС,0.00236691,0.00236691,0.00236691,0.00236691,0.00236691,0.00236691,0.00236691,0.00236691
