Федеральный округ,Субъект федерации,Название,2012,2013,2014,2015,2016,2017,2018,2019
Северо-Кавказский,Кабардино-Балкарская Республика,Майская ГРЭС,,,,,,,,
Дальневосточный,Республика Саха (Якутия),Западные ЭС [Якутскэнерго],,,,,,,,
Дальневосточный,Камчатский край,ДЭС ЮЭС,,,,,,,,
Дальневосточный,Республика Саха (Якутия),Чульманская ТЭЦ,,,,,,,,
Дальневосточный,Приморский край,ГТЭС Владивостокской ТЭЦ-1,,,,,,,,
Дальневосточный,Чукотский автономный округ,Чаунская ТЭЦ,,,,,,,,
Дальневосточный,Чукотский автономный округ,Эгвекинотская ГРЭС,,,,,,,,
Сибирский,Томская область,Томская ТЭЦ-1,3037.0,3383.0,3488.0,3750.0,3801.3333333333294,3896.0,4028.0,4084.0
Дальневосточный,Республика Саха (Якутия),Якутская ТЭЦ,,,,,,,,
Дальневосточный,Камчатский край,Центральные ЭС Камчатскэнерго,,,,,,,,
Дальневосточный,Республика Саха (Якутия),Депутатская ТЭЦ,,,,,,,,
Дальневосточный,Сахалинская область,Новиковская ДЭС,,,,,,,,
