Регион,Акцизы на нефтепродукты (факт. 2016 г. ),Транспортный налог (факт. 2016 г. ),Межбюджетные трансферты из федерального бюджета (факт. 2016 г. ),Объем расходов на дорожную детятельность (факт. 2016 г. ),Не использованные бюджетные ассигнования регионального дорожного фонда (факт. 2016 г. ),Акцизы на нефтепродукты (Прогноз 2017 г.),Транспортный налог (Прогноз 2017 г.),Межбюджетные трансферты из федерального бюджета (Прогноз 2017 г.)
Ханты-Мансийский автономный округЮгра,5220.91768658,2728.15109484,1429.30592,12056.90057312,,4112.82844752913,2882.38032811337,348.0053
Ямало-Ненецкий автономный округ,2015.65876016,749.45510841,277.71542,5666.18022368,,1394.78289837986,939.936365949195,145.4997
Республика Бурятия,2296.75657606,524.99486512,925.16359,2888.90593502,858.00909616,1740.78625844123,511.511519452802,1398.7107
Республика Тыва,714.36325649,93.42455332,306.65513,899.17824531,215.2646945,573.818820596584,55.6854866554259,333.4899
Алтайский край,7739.55994322,1758.18069829,891.766002,9384.39413734,1005.11250617,5112.45507436244,2128.67396889247,856.5381
Красноярский край,8957.6504908,2122.86860954,2467.34302,13124.80693532,423.055185020001,5974.28786506598,2655.35509337487,1794.67
Иркутская область,6449.82793011,1987.21835379,2281.32265,9452.63679585,1265.73213805,4876.63155521447,1857.78233889828,1586.3334
Кемеровская область,5246.03489192,1818.3040913,457.04961,6662.42374409,858.96484913,3741.69635182084,2250.58984310476,1250
Новосибирская область,7404.8661401,2076.13368211,731.25142,9446.58303086,765.668211349999,4747.67419755393,2131.79838188474,1296.4829
Омская область,5125.72502564,1213.51422637,1385.825838,7554.42679742,170.63829259,3407.29086975036,1410.26946774356,1464.0159
Томская область,2469.9128339,542.0284264,897.12458,3347.74249301,561.32334729,1739.12941872824,497.215413676635,725
Республика Алтай,697.49738769,109.36974196,1038.68776,2075.31417171,,564.153922270848,117.625316235422,288.5892
Республика Хакасия,1133.38640588,264.4000827,202.0936,996.32601442,603.55407416,929.763218935851,250.139360192669,119.2471
Забайкальский край,2901.95994394,479.91967548,1234.58585,4128.905277,487.56019242,2223.47889482372,428.628918677195,495.57531
Республика Саха (Якутия),3427.1862502,871.00707125,691.978555,4853.66936294,136.50251351,2886.76705992141,867.508607144665,500.0454
Приморский край,5469.03916169,1676.88639133,2818.70011,8062.33971765,1902.28594537,4191.52833389584,1464.02509078474,4514.265
Хабаровский край,2868.32214245,1419.25414265,1110.29318,5432.95708533,,2286.16266396493,1578.24530405012,1168.3158
Амурская область,2729.64721864,853.14305677,1034.21853,3927.60189933,689.40690608,1885.48359337511,913.862378253432,1004.5691
Камчатский край,880.39836838,560.5555625,2764.15897,6453.86651741,,641.749248828904,327.19643504872,1087.7374
Магаданская область,588.05663695,183.34313433,1799.427372,2536.4278832,34.3992600799997,433.815864849487,188.834279361832,1879.782534
Сахалинская область,1016.11655944,742.97604529,984.30078,14567.60901572,,844.71211366937,856.735386245676,424.0589
Еврейская автономная область,389.03938129,114.70581225,438.86586,904.93436672,37.67668682,320.04620455796,115.898111875304,173.9639
Чукотский автономный округ,210.26116938,17.39053583,2694.98334,3906.98888033,,151.600833737981,22.0141457898156,1781.173175
