Федеральный округ,Субъект федерации,Название,2012,2013,2014,2015,2016,2017,2018,2019
Приволжский,Республика Башкортостан,Благовещенская ТЭЦ,1077.427166666667,1250.288,1323.315666666667,1298.9090000000003,1468.3344999999988,2265.583666666666,2422.446000000001,2644.615142857143
Дальневосточный,Амурская область,Благовещенская ТЭЦ,,,,,,,,
Дальневосточный,Хабаровский край,Комсомольская ТЭЦ-2,,,,,,,,
Дальневосточный,Камчатский край,Камчатская ТЭЦ-1,,,,,,,,
Дальневосточный,Магаданская область,Аркагалинская ГРЭС,,,,,,,,
Дальневосточный,Приморский край,Партизанская ГРЭС,,,,,,,,
Южный,Краснодарский край,Джубгинская ТЭС,1899.42279535865,1940.2066139240508,2185.495748945147,2444.8638080168785,2777.9103481012658,3706.5840189873416,3336.1865189873433,3404.654575045208
Дальневосточный,Республика Саха (Якутия),Электростанции Сахаэнерго,,,,,,,,
Дальневосточный,Камчатский край,Камчатская ТЭЦ-2,,,,,,,,
Южный,Краснодарский край,Сочинская ТЭС,1994.3988839662452,2046.130348101266,2294.6827236286917,2562.2352004219415,2896.900202531646,3828.5344746835444,3462.2949746835457,3532.5262332730563
Сибирский,Томская область,Томская ТЭЦ-3,898.1674459915615,871.4821616033759,980.0450329113926,1205.8044514767935,1323.0900033755283,2006.173618565401,2031.080513924052,2183.3265056057867
Дальневосточный,Хабаровский край,Николаевская ТЭЦ,,,,,,,,
Дальневосточный,Амурская область,Райчихинская ГРЭС,,,,,,,,
Дальневосточный,Магаданская область,Магаданская ТЭЦ,,,,,,,,
Дальневосточный,Республика Саха (Якутия),Центральные ЭС [Якутскэнерго],,,,,,,,
Дальневосточный,Чукотский автономный округ,Анадырская ТЭЦ,,,,,,,,
Дальневосточный,Сахалинская область,Сахалинская ГРЭС,,,,,,,,
Северо-Кавказский,Кабардино-Балкарская Республика,Майская ГРЭС,,,,,,,,
Дальневосточный,Республика Саха (Якутия),Западные ЭС [Якутскэнерго],,,,,,,,
Дальневосточный,Камчатский край,ДЭС ЮЭС,,,,,,,,
Дальневосточный,Республика Саха (Якутия),Чульманская ТЭЦ,,,,,,,,
Дальневосточный,Приморский край,ГТЭС Владивостокской ТЭЦ-1,,,,,,,,
Дальневосточный,Чукотский автономный округ,Чаунская ТЭЦ,,,,,,,,
Дальневосточный,Чукотский автономный округ,Эгвекинотская ГРЭС,,,,,,,,
Сибирский,Томская область,Томская ТЭЦ-1,954.6787118143462,934.4316552742619,1044.948324050633,1275.5829324894514,1393.823674261604,2078.668808438819,2106.0319063291154,2259.3199233273053
Дальневосточный,Республика Саха (Якутия),Якутская ТЭЦ,,,,,,,,
Дальневосточный,Камчатский край,Центральные ЭС Камчатскэнерго,,,,,,,,
Дальневосточный,Республика Саха (Якутия),Депутатская ТЭЦ,,,,,,,,
Дальневосточный,Сахалинская область,Новиковская ДЭС,,,,,,,,
