		total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	total PDF_2007 -> no CF	CF -> multiply with extension in exiobase	CF -> multiply with extension in exiobase	CF -> multiply with extension in exiobase	CF -> multiply with extension in exiobase	CF -> multiply with extension in exiobase
Name	Row Labels	Cereals nec	Other crops	Fodder crops	Oil bearing crops	Paddy rice	Fibres	Sugar crops	 Vegetables, fruit, nuts	Wheat	Intensive forestry	Other (average)	Pasture	Urban	Extensive forestry
Romania	RO	3.49E-05	7.99E-07	4.87E-05	1.33E-05	2.52E-07	7.01E-08	7.72E-07	1.00E-05	2.54E-05	1.10E-15	6.57E-16	1.15E-15	7.79E-16	4.16E-16
Sweden	SE	6.34E-07	2.44E-07	2.44E-07	1.03E-07	2.44E-07	2.44E-07	4.24E-08	8.70E-08	3.54E-07	1.88E-16	8.26E-17	1.03E-16	1.04E-16	4.76E-17
Slovenia	SI	9.28E-07	1.64E-08	4.23E-07	6.91E-08	3.13E-07	3.13E-07	0.00E+00	3.33E-07	4.22E-07	1.48E-15	8.68E-16	1.52E-15	9.76E-16	5.76E-16
Slovakia	SK	6.37E-06	9.92E-09	2.87E-06	4.00E-06	2.56E-06	8.02E-10	3.65E-07	9.85E-07	5.85E-06	1.36E-15	8.29E-16	1.43E-15	9.87E-16	5.42E-16
United Kingdom	GB	2.88E-06	8.14E-08	3.25E-07	1.76E-06	1.43E-06	2.47E-08	3.22E-07	1.34E-06	4.72E-06	3.08E-16	1.61E-16	2.89E-16	1.80E-16	1.46E-16
Switzerland	CH	1.20E-06	8.12E-09	8.84E-07	4.63E-07	7.78E-07	7.78E-07	3.88E-07	9.07E-07	1.60E-06	1.95E-15	1.12E-15	1.78E-15	1.22E-15	9.38E-16
Norway	NO	1.19E-07	3.94E-08	9.72E-09	3.55E-09	3.94E-08	3.94E-08	3.94E-08	1.49E-08	4.98E-08	9.98E-17	4.92E-17	5.53E-17	5.49E-17	4.75E-17
RoW Europe	WE	9.00E-05	6.79E-07	4.09E-05	4.17E-05	3.84E-07	4.60E-07	1.01E-05	3.83E-05	6.70E-05	2.03E-16	4.53E-16	2.60E-16	7.64E-16	1.11E-16
India	IN	1.22E-03	1.27E-04	3.79E-04	8.35E-04	1.48E-03	1.50E-04	1.58E-04	1.35E-03	8.57E-04	3.54E-15	2.16E-15	3.21E-15	2.33E-15	1.50E-15
Brazil	BR	5.76E-04	1.14E-04	2.87E-04	8.30E-04	1.14E-04	2.65E-05	2.49E-04	3.17E-04	7.25E-05	4.12E-15	2.59E-15	3.58E-15	2.49E-15	2.38E-15
RoW America	WL	8.45E-04	3.96E-04	1.01E-04	4.56E-04	3.07E-04	2.22E-05	3.29E-04	1.12E-03	9.39E-05	2.49E-15	2.96E-15	2.79E-15	4.82E-15	7.98E-16
Cyprus	CY	5.63E-07	2.43E-08	1.11E-06	2.94E-07	6.36E-07	6.36E-07	6.36E-07	1.74E-06	8.27E-08	7.90E-15	4.60E-15	8.63E-15	4.85E-15	2.54E-15
Turkey	TR	1.65E-04	1.15E-05	1.74E-05	3.15E-05	4.07E-06	8.61E-06	1.07E-05	1.25E-04	2.96E-04	3.35E-15	2.05E-15	3.95E-15	2.39E-15	1.34E-15
RoW Middle East	WM	7.76E-05	4.14E-06	2.20E-05	1.80E-05	8.91E-06	2.23E-06	4.85E-06	7.58E-05	1.69E-04	5.83E-16	3.05E-16	5.06E-16	3.20E-16	3.36E-16
United states	US	3.00E-04	1.05E-06	1.88E-04	2.13E-04	8.31E-06	1.30E-05	6.25E-06	2.82E-05	1.31E-04	8.77E-16	4.72E-16	7.30E-16	5.10E-16	3.78E-16
Canada	CA	6.51E-06	1.71E-08	4.43E-07	6.82E-06	2.87E-06	3.05E-08	1.34E-08	2.03E-06	7.13E-06	1.50E-16	7.88E-17	9.49E-17	9.13E-17	8.11E-17
Mexico	MX	7.16E-04	4.16E-05	1.11E-04	3.96E-05	4.03E-06	3.35E-06	4.22E-05	2.45E-04	4.53E-05	8.25E-15	4.75E-15	6.98E-15	5.08E-15	4.01E-15
Japan	JP	3.21E-06	2.30E-06	1.84E-05	5.55E-06	5.73E-05	1.52E-05	3.34E-06	2.37E-05	8.23E-06	3.62E-15	1.93E-15	3.34E-15	2.24E-15	7.78E-16
South korea	KR	9.00E-07	2.17E-07	1.04E-07	1.89E-06	1.18E-05	2.79E-10	2.75E-06	7.00E-06	2.88E-08	1.31E-15	7.38E-16	1.24E-15	8.64E-16	3.93E-16
Indonesia	ID	4.68E-04	5.26E-04	5.00E-04	7.15E-04	1.31E-03	3.80E-08	4.35E-05	4.38E-04	5.00E-04	1.30E-14	8.13E-15	1.10E-14	8.03E-15	6.38E-15
RoW Asia and Pacific	WA	1.16E-03	5.64E-04	4.87E-05	1.51E-03	3.24E-03	7.16E-05	1.63E-04	1.35E-03	2.31E-04	7.55E-16	9.85E-16	7.94E-16	1.64E-15	2.76E-16
Russian Federation	RU	1.66E-05	3.06E-09	4.76E-06	5.11E-06	1.95E-07	6.18E-08	1.31E-06	5.50E-06	2.36E-05	1.78E-16	8.08E-17	9.04E-17	8.68E-17	7.55E-17
