,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,Республика Адыгея,Алтайский край,Амурская область,Архангельская область,Астраханская область,Республика Башкортостан,Белгородская область,Брянская область,Республика Бурятия,Республика Чечено-Ингушска,Челябинская область,Чукотский АОк,Чувашская Республика,Санкт-Петербург (горсовет),Республика Дагестан,Республика Алтай,Респу́блика Ингуше́тия,Иркутская область,Ивановская область,Кабардино-Балкарская Респу,Калининградская область,Республика Калмыкия,Калужская область,Камчатская край,Карачаево-Черкессия Респуб,Республика Карелия,Кемеровская область,Хабаровский край,Республика Хакасия,Ханты-Мансийский АОк,Кировская область,Республика Коми,Костромская область,Краснодарский край,Красноярский край,Курганская область,Курская область,Ленинградская область,Липецкая область,Магаданская область,Республика Марий Эл,Республика Мордовия,,Московская область,Мурманская область,Ненецкий АОк,Нижегородская область,Республика Северная Осетия,Новгородская область,Новосибирская область,Омская область,Орловская область,Оренбургская область,Пензенская область,Пермская край,Приморский край,Псковская область,Ростовская область,Рязанская область,Сахалинская область,Республика Саха,Самарская область,Саратовская область,Смоленская область,Ставропольский край,Свердловская область,Тамбовская область,Республика Татарстан,Томская область,Тульская область,Республика Тыва,Тверская область,Тюменская область,Удмуртская Республика,Ульяновская область,Владимирская область,Волгоградская область,Вологодская область,Воронежская область,Ямало-Ненецкий АОк,Ярославская область,Eврейская АОб,Забайкальский край,Республика Крым
1,Республика Адыгея,Алтайский край,Амурская область,Архангельская область,Астраханская область,Республика Башкортостан,Белгородская область,Брянская область,Республика Бурятия,Республика Ингушетия,Челябинская область,Чукотский автономный округ,Чувашская Республика,Санкт-Петербург,Республика Дагестан,Республика Алтай,Республика Ингушетия,Иркутская область,Ивановская область,Кабардино-Балкарская Республика,Калининградская область,Республика Калмыкия,Калужская область,Камчатский край,Карачаево-Черкесская Республика,Республика Карелия,Кемеровская область,Хабаровский край,Республика Хакасия,Ханты-Мансийский автономный округ-Югра,Кировская область,Республика Коми,Костромская область,Краснодарский край,Красноярский край,Курганская область,Курская область,Ленинградская область,Липецкая область,Магаданская область,Республика Марий Эл,Республика Мордовия,Республика Адыгея,Московская область,Мурманская область,Ненецкий автономный округ,Нижегородская область,Республика Северная Осетия-Алания ,Новгородская область,Новосибирская область,Омская область,Орловская область,Оренбургская область,Пензенская область,Пермский край,Приморский край,Псковская область,Ростовская область,Рязанская область,Сахалинская область,Республика Тыва,Самарская область,Саратовская область,Смоленская область,Ставропольский край,Свердловская область,Тамбовская область,Республика Татарстан,Томская область,Тульская область,Республика Тыва,Тверская область,Тюменская область,Удмуртская республика,Ульяновская область,Владимирская область,Волгоградская область,Вологодская область,Воронежская область,Ямало-Ненецкий автономный округ,Ярославская область,Тверская область,Забайкальский край,Республика Крым
