,0.1,1,"Глубина переработки, %","Выход светлых нефтепродуктов, %",Индекс Нельсона,ИК,Кратность запасов газа добыче,Кратность запасов нефти добыче,Цены на бензин 2013,Цены на бензин 2018,Акцизы на нефтепродукты (суб.бюджет) 2014,Акцизы на нефтепродукты (суб.бюджет) 2017,НДПИ (нефть) 2014,НДПИ (нефть) 2017,Задолженность по НДПИ 2014,Задолженность по НДПИ 2017,Задолженность по акцизу на нефтепродукты 2014,Задолженность по акцизу на нефтепродукты 2017,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2014,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2017,НДПИ (газ горючий природный) 2014,НДПИ (газ горючий природный) 2017,НДПИ (газовый конденсат ) 2014,НДПИ (газовый конденсат ) 2017,Крэк-спред 2013,Крэк-спред 2018,Спарк-спред 2012,Спарк-спред 2018,Цены на мазут 2012,Цены на мазут 2018,Акцизы на нефтепродукты (факт. 2016 г. ),Акцизы на нефтепродукты (Прогноз 2017 г.),Цены на дизель 2013,Цены на дизель 2018
41,Республика Мордовия,Республика Мордовия,,,,,,,29.021597222222212,41.33947916666668,,,,,1.4460000000000002,0.542,,,91.182,,,,,,,,,,,,2129.97187181,1485.6329426417801,31.13587662337662,42.894285714285736
42,Москва,Москва,,,,,,,31.025,42.927673737373745,15386.366000000002,14491.051,-0.079,-0.003,53.984,3268.9570000000012,51.52,15.205,815.3639999999997,3515.3230000000012,0.008,,,,,,,,,,25620.11672514,15398.116012563401,32.99621054038841,43.19399199507391
43,Московская область,Московская область,80.3,55.1,7.27,119.03009605122736,,,29.852085069444442,42.07172222222223,73.335,125.459,,,23.733,20.612,0.9420000000000001,7.8279999999999985,17.340999999999998,20.085,,,,,,,2660.5925,4267.909166666667,,,23340.86368134,16351.074987481,32.220826544145496,41.613513071895426
44,Мурманская область,Мурманская область,,,,,,,31.259369047619053,43.34320833333333,4.776,,,,2.004,17.942999999999994,,,0.221,0.009000000000000001,,,,,,,,,,,1661.47550724,1140.45800243691,33.71771929824562,47.21142701525054
45,Ненецкий АОк,Ненецкий автономный округ,,,,,1815.18,67.87,33.006930555555556,44.53221875,,,33679.897000000004,56513.232,90.669,1.071,,,191.733,297.632,146.775,118.823,3.6860000000000004,13.273,,,,,,,117.68628721,75.9384868450725,34.24622641509435,48.65971698113208
46,Нижегородская область,Нижегородская область,76.6,63.7,7.4,111.42670967741935,,,29.488755158730157,41.40376388888888,19290.304,31628.34,,,2.06,4.3870000000000005,,37.236,0.378,0.006,,,,,18841.600611270835,20639.743664443708,,,10982.453611249,14660.79142803229,7863.99257712,5939.49423109333,30.84218394886363,42.96122418300654
47,Республика Северная Осетия,Республика Северная Осетия-Алания ,,,,,,,27.648334490740734,41.95862152777777,0.003,0.003,,,0.752,2.176,0.006,,0.081,0.4920000000000001,,,,,,,,,,,1617.24945051,1096.55175004285,28.701572355841225,41.82692018574047
48,Новгородская область,Новгородская область,,,,,,,29.705625,41.761114583333345,,,,,1.492,6.772,,,,,,,,,,,,,,,2450.79818237,1686.38668786494,31.942449603174605,43.664329520069934
49,Новосибирская область,Новосибирская область,,,,,,151.52,28.233625000000004,39.845984126984135,0.899,2.06,2757.759,1436.576,7.8439999999999985,7.859,0.015,59.901,0.312,0.001,,,,,18967.73970351188,16937.088413183625,,,16025.759238510625,10053.926389340746,7404.866140100001,4747.67419755393,31.251898739398733,44.4058358405036
50,Омская область,Омская область,90.6,70.92,8.5,38.01243902439025,70.14,106.23,27.950800000000005,39.17239583333333,32439.622000000014,44113.27,2000.304,1554.98,0.961,1.5330000000000001,480.904,480.86100000000016,0.5579999999999999,,3.3810000000000002,1.169,0.08900000000000001,0.168,16837.85852924785,15133.897929282544,1620.4083333333335,2988.9950000000013,10116.145634960905,6461.793841248411,5125.72502564,3407.29086975036,32.25222222222221,44.03920902014653
51,Орловская область,Орловская область,,,,,,,28.73465972222223,41.66404166666667,,,,,0.4260000000000001,0.444,,,,0.001,,,,,,,,,,,2984.88403801,2163.55652520416,29.98532861771641,43.367453057762326
52,Оренбургская область,Оренбургская область,72.2,59.43444444444444,4.8,103.7974683544304,58.84,48.69,29.20488446969697,40.97385227272728,2377.626,1067.962,101114.868,129776.673,21.336,89.516,,,77.441,37.353,11680.027,15287.489,328.684,1244.497,18800.07757898157,21483.769132287973,1980.8891666666668,3622.26,11626.884624296456,18352.831720028116,5772.99960305,4127.463864993811,32.162869342400995,43.73625373547418
53,Пензенская область,Пензенская область,,,,,,197.67,29.591130952380954,41.491944444444435,,,657.8040000000002,668.659,0.42200000000000004,1.151,,,0.008,,,,,,,,,,,,2967.64337167,2455.98873454573,30.855701147980565,42.25165998217469
54,Пермская край,Пермский край,96.4,68.0,9.4,53.00983870967742,55.97,38.24,29.725375,41.8178125,12332.039,17044.302,77601.225,111739.215,14.605,26.10700000000001,,,100.552,10.663,123.321,333.862,-4.597,,19129.81978592405,17725.96718718812,1980.8891666666668,3622.26,12286.88060254384,4802.298795965698,6481.74090347,4888.78171310969,31.3826511744128,44.941680911680905
55,Приморский край,Приморский край,,,,,,,32.291736111111106,40.754016666666665,,,,,15.826,5.12,0.057,0.057,,,,,,,15901.810715445627,12749.585871502954,2113.9066666666668,3834.848333333333,16150.414495138823,21834.01028454821,5469.03916169,4191.52833389584,33.99000087535013,44.780695054945056
56,Псковская область,Псковская область,,,,,,,29.66684375,41.65180555555556,,,,,1.298,0.7809999999999999,,,,,,,,,,,1910.1641666666665,4362.495833333333,,,3026.11171798,2657.5708996253697,31.990693778507577,43.909079802550394
57,Ростовская область,Ростовская область,97.8,59.43444444444444,1.2,4.746875,160.26,,29.27113541666667,42.827406565656574,-29.567,-0.099,2.1060000000000003,,13.629000000000001,16.717000000000002,,,0.42200000000000004,7.997999999999997,235.535,331.6520000000001,-1.161,9.338,16395.525166683256,11401.508159431101,2845.9858333333336,4593.0250000000015,10320.930963909695,7922.096226659326,10690.71224243,8230.35127424504,29.264449324119386,41.162719454608
58,Рязанская область,Рязанская область,70.7,57.8,5.27,124.7827067669173,,,28.776975,41.10526041666667,20128.245,28082.005,,,4.259,2.968,,,,0.016,,,,,16846.77122108644,17802.629233227988,2660.5925,4267.909166666667,6798.88480484119,9602.503792994828,2993.87916821,2327.5836567895103,30.826044891640873,42.26532007575759
59,Сахалинская область,Сахалинская область,,,,,362.32,18.8,33.81944444444445,43.33402777777778,131.82399999999998,144.707,3760.6,11029.526000000002,44.26,13.064,15.771,21.575,129.041,22.347,70.35300000000001,9.716000000000001,30.321,3.7960000000000003,15316.18160362968,13870.637004545715,2113.9066666666668,3834.848333333333,9439.22076775265,18235.919539025926,1016.11655944,844.71211366937,35.43510769230769,49.612607808857824
60,Республика Саха,Республика Саха (Якутия),,,,,1457.45,68.37,34.77950000000001,47.45265277777778,291.7630000000001,234.036,34530.393000000004,64986.049000000006,113.039,237.082,,,130.69400000000002,26.62,653.614,131.928,40.134,58.753,,,2113.9066666666668,3834.848333333333,,,3427.1862501999994,2886.76705992141,38.03366531850353,53.7637643020595
61,Самарская область,Самарская область,71.83333333333333,56.8,4.989999999999998,119.99488601305927,,36.48,29.45140104166667,41.2118125,23309.786,30903.581,68586.067,104354.946,3.282,8.004,2.556,1.261,35.929,2.661,,,,,,,,,,,8107.2358897,6252.08465694286,30.636816427334352,41.69622947454844
62,Саратовская область,Саратовская область,79.4,50.8,4.0,107.59827586206896,64.88,70.62,29.11671666666666,41.6935,7095.366,8220.733,4649.681000000001,8115.195000000002,15.93,29.023000000000003,24.967,0.8009999999999999,43.237,109.148,497.274,639.945,35.944,171.72400000000005,18628.06663966187,22751.039361786803,,,10671.728726167648,20212.928473218773,6479.45612356,4250.89842361108,30.16504633520075,42.05957408352097
63,Смоленская область,Смоленская область,,,,,,,30.032645833333333,41.98966666666667,,,,,4.14,5.3100000000000005,0.005,,,0.611,,,,,,,,,,,3745.72171803,2827.67311015834,31.340139830125608,42.79565624999999
64,Ставропольский край,Ставропольский край,,,,,255.1,116.96,30.17896924603175,43.306546875,-127.236,-3797.829,4132.459,6054.555,5.091,5.811,639.5540000000002,0.135,0.8430000000000001,0.012,153.48600000000005,200.645,27.776,5.14,,,2905.349166666667,4118.514166666666,,,6818.30869154,4927.99358631696,30.28393083864455,42.6134411965267
65,Свердловская область,Свердловская область,,,,,,,30.004364583333334,40.94079513888889,0.001,,-0.044000000000000004,,57.401,209.696,0.364,,5.9460000000000015,0.34500000000000003,,,,,,,1755.3475,3459.500833333333,,,11920.79629775,8679.35483646354,31.419596428571428,43.45088024068322
66,Тамбовская область,Тамбовская область,,,,,,,29.745625,41.85722222222222,,,,,0.002,0.383,,,0.165,,,,,,,,,,,,2980.76127001,2172.3930036734,30.684937363936807,41.93942834630297
67,Республика Татарстан,Республика Татарстан,73.0,59.43444444444444,6.2,97.76064999026129,,30.73,28.40820833333333,,8249.027,1608.8,149424.946,228255.633,8.719000000000001,11.909,,2.03,50.2,0.326,,,,,,,,,,,9984.59452209,7222.164308894641,31.01836763382816,
68,Томская область,Томская область,,,,,96.57,50.71,29.07372222222222,40.012483333333336,223.104,274.62,62245.669,74346.762,7.004,11.264000000000001,5.8039999999999985,,138.531,21.073,1850.711,2760.559,29.79600000000001,1982.1370000000002,19598.934849188357,19516.611045148948,1620.4083333333335,2988.9950000000013,13141.443497973683,17343.255279910038,2469.912833900001,1739.1294187282401,31.30948376032675,44.028420384054
69,Тульская область,Тульская область,,,,,,,29.348115972222217,41.83077777777778,,0.101,,,24.159000000000002,6.569,,,0.07,,,,,,,,2660.5925,4267.909166666667,,,3594.828825,3036.98719389857,30.90796717171717,42.21326330327452
70,Республика Тыва,Республика Тыва,,,,,,,29.108486111111112,,,,,,2.1430000000000002,4.066,0.038,,,0.013000000000000001,,,,,,,,,,,714.36325649,573.818820596584,33.036169354838705,
71,Тверская область,Тверская область,,,,,,,29.300750000000004,41.41429166666666,282.50600000000014,170.923,,,3.1180000000000003,6.146,,13.639000000000001,0.654,,,,,,18651.460949971897,19260.658831087367,,,9900.0,13142.781456724737,4567.65215623,3362.55619749981,31.45060340430958,42.82645410628019
72,Тюменская область,Тюменская область,50.1,59.43444444444444,2.3,177.68185185185192,,45.83,29.455610532407412,40.714833333333345,1428.41,-2591.91,57958.105,81362.185,30.137,9.442,,,480.177,0.5670000000000001,,,,,18406.37690790665,17518.43121241982,,,9245.216625040604,5893.001123206613,4581.89444577,3448.1595826706202,32.625033770507905,44.766189655172425
73,Удмуртская Республика,Удмуртская республика,,,,,,37.28,28.93500833333333,41.24385416666667,,,50013.819,74309.734,28.82800000000001,37.794000000000004,,221.706,26.159000000000002,40.62,,,,,,,,,,,3860.03524713,2880.9681209259693,31.117959894671102,43.23993012566137
74,Ульяновская область,Ульяновская область,,,,,,139.86,28.89529761904762,40.47079791666667,14.486,1.506,3278.124000000001,4445.672000000001,1.236,1.5490000000000002,,,0.006,,,,,,,,,,,,2720.27729138,2151.68250726111,29.870399720399718,41.66876419040828
75,Владимирская область,Владимирская область,,,,,,,29.737199074074066,41.472427083333336,,,,,3.338,7.258999999999999,,,0.08900000000000001,0.002,,,,,,,,,,,3601.42525391,2663.92211852514,30.84674135508309,43.47472507331378
76,Волгоградская область,Волгоградская область,92.3,71.6,6.9,35.791111111111114,79.37,17.12,29.94123124999999,42.084875,11314.181,17669.307,9497.089,13104.133999999998,0.799,47.104,0.715,,26.086,81.23700000000002,139.716,208.924,42.857,291.14,17419.25315143482,14111.743549974475,,,11478.126753912049,17244.06952850691,5913.5485122,4567.63094874307,30.04176666666667,42.66937810388642
77,Вологодская область,Вологодская область,,,,,,,30.407166666666665,42.14325,,,,,1.3210000000000002,2.224,,46.911,0.135,,,,,,,,1910.1641666666665,4362.495833333333,,,3637.78057184,3057.97383026303,31.29776517210144,44.5767
78,Воронежская область,Воронежская область,,,,,,,30.39473958333333,42.80592708333335,0.001,0.001,,,8.937999999999997,4.368,,,0.457,0.313,,,,,,,,,,,6115.93894163,4724.478441572171,31.824584601339012,43.73563209016993
79,Ямало-Ненецкий АОк,Ямало-Ненецкий автономный округ,100.0,59.43444444444444,4.536333333333333,9.641871656284712,69.45,147.65,32.56544270833333,,625.672,475.309,110904.482,173576.91,187.985,39.258,,27.82200000000001,285.999,2825.007,329329.745,505607.17,11544.652,96181.32,,,1755.3475,3459.500833333333,,,2015.65876016,1394.78289837986,34.850796961916984,
80,Ярославская область,Ярославская область,64.05,57.367222222222225,4.75,126.8725253135862,,,28.7929816468254,40.233375,17260.631999999998,28460.334,,,4.754,7.049,,578.991,0.16399999999999998,0.006999999999999999,,,,,17006.174671381577,17148.935656412137,,,6407.164671379258,9993.896362153788,3514.09753159,2479.1844905274897,30.5270407023532,42.74636534232884
81,Еврейская автономная область,Еврейская автономная область,,,,,,,32.747046296296304,40.29089814814815,,,,,2.3360000000000003,1.356,0.002,0.002,,,,,,,,,,,,,389.03938129,320.04620455796004,35.056824196875915,45.95861558610096
82,Забайкальский край,Забайкальский край,,,,,,,31.760430555555555,41.692798611111115,,,,,92.755,87.991,,,,,,,,,,,2113.9066666666668,3834.848333333333,,,2901.95994394,2223.47889482372,34.131341168091176,47.66590942028986
83,Республика Крым,Республика Крым,,,,,97.75,5222.22,,45.71244444444446,,,,75.15400000000002,,0.002,,,,0.188,,5.144,,20.085,,,,,,,0.0,1850.41381945029,,46.849777777777746
