,Рязанская область,Ярославская область,Республика Коми,Ленинградская область,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Республика Дагестан,Кабардино-Балкарская Республика,Республика Башкортостан,Республика Марий Эл,Республика Татарстан (Татарстан),Пермский край,Нижегородская область,Оренбургская область,Саратовская область,Курганская область,Тюменская область,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Сахалинская область,Приморский край,Тверская область
2014-04-01,103.69,102.86,105.13,100,100,107.03,100,105.76,96.76,101.52,100,111.52,99.27,89.01,99.53,96.46,103.56,114.39,112.82,106.23,107.4,130.56,104.19,118.18,117.28,110.48,98.28,100.0,102.58
2014-05-01,97.97,94.6,94.32,100,111.68,94.86,100,102.18,98.99,79.51,100,99.66,99.7,102.19,97.67,97.08,106.12,100.89,100,100,98.19,91.8,108.47,107.69,101.91,111.41,100.3,100.0,102.68
2014-06-01,100.97,98.94,107.18,100,97.78,86.36,100,100,100,115.59,100,102.33,99.7,102.47,106.36,110.09,99.75,110.93,101.81,100,101.48,99.44,102.71,97.62,102.43,101.85,100.18,100.0,97.01
2014-07-01,101.12,101.56,101.29,100,100,97.67,100,100,100,103.43,100,96.46,100.0,93.57,99.19,98.44,95.73,88.23,99.83,101.05,100,100.53,96.91,79.02,87.32,100,100,100.0,103.62
2014-08-01,96.74,107.4,100.38,118.18,100,98.65,100,100,100,94.05,119.62,94.1,100.0,98.12,98.48,99.73,99.86,101.46,100,100,100,96.19,96.15,120.36,105.54,99.35,100.34,105.0,97.53
2014-09-01,99.16,99.94,93.62,100,100,100.32,100,100,100,88.89,101.44,100.27,100.0,102.97,97.19,94.33,105.96,109.33,102.85,100,100,112.76,94.93,100,108.49,100,101.79,100.0,99.55
2014-10-01,103.28,89.33,115.35,100,100,102.51,100,95.47,100,115.84,101.25,102.54,100.0,84.05,105.74,103.81,99.99,97.01,104.35,98.27,209.11,102.42,96.78,100,95.97,99.59,100.71,100.0,100.91
2014-11-01,83.76,83.39,69.75,92.31,100,92.46,100,96.93,100,100,100,68.56,100.0,84.26,90.37,75.89,95.41,86.03,97.5,100,58.46,96.81,100.48,100,71.93,100.54,87.43,100.0,101.88
2014-12-01,88.77,80.36,94.02,83.33,100,95.35,100,88.47,100,85.31,92.21,81.74,100.0,56.18,103.85,97.19,78.92,81.85,102.57,100,92.5,79.78,100.0,53.85,64.72,100,105.51,100.0,98.37
2015-01-01,64.41,72.27,210.16,98.8,94.98,83.63,100,68.97,65.71,101.01,93.2,95.16,72.7,48.71,18.33,30.67,90.1,89.15,95.83,85.84,,75.93,81.88,100,51.79,100,107.87,100.0,108.01
2015-02-01,75.57,182.3,64.81,96.62,100,100.94,84.53,191.67,100,122.31,100,90.21,115.43,514.14,243.13,220.27,97.71,109.69,72.41,100,,100,128.35,51.43,172.63,91.01,93.29,100.0,126.92
2015-03-01,277.94,111.61,101.41,100,100,169.36,100,93.91,116.68,100,90,169.45,159.13,91.21,308.49,185.28,152.23,85.83,108.09,100,,130.77,128.45,208.33,165.12,105.58,105.26,100.0,104.77
2015-04-01,91.25,82.96,85.75,100,100,92.74,100,95.37,111.51,99.26,94.01,86.01,85.77,90.97,80.74,87.73,76.09,112.88,100,100,,117.61,79.58,110.82,84.73,99.73,99.42,100.0,97.56
2015-05-01,95.66,116.84,113.05,100,100,89.47,100,110.78,100,100,100,126.25,102.31,116.08,109.14,108.57,102.99,117.85,100,100.6,,76.45,102.44,83.35,118.33,100,100,100.0,92.79
2015-06-01,114.98,101.71,119.61,100,100,108.19,100,92.02,97.29,101.78,100,88.92,97.96,91.14,112.05,126.43,98.65,99.21,100,100,,115.59,108.6,113.39,104.93,100,100,100.0,96.56
2015-07-01,90.23,101.36,80.48,100,100,95.72,100,90.48,100,100,100,100.32,100,87.62,84.99,83.2,95.89,106.19,100,119.82,,95.51,96.29,101.85,100.42,100,100,100.0,99.75
2015-08-01,82.13,82.17,82.26,100,100,87.35,100,94.74,100,100,100,80.83,100,51.55,82.39,86.03,86.28,107.68,106.66,85.29,,99.56,74.05,87.5,70.67,99.81,103.53,108.87,103.55
2015-09-01,68.32,84.75,55.54,100,100,88.95,100,77.78,100,100,100,84.02,93.83,112.33,79.15,47.85,90,91.41,93.76,85.07,,84.08,90.03,71.43,84.63,97.07,99.43,100.0,103.05
2015-10-01,115.81,108.31,108.47,100,100,107.09,82.35,117.14,79.98,100,100,94.46,84.8,112,77.66,107.16,88.39,100,66.21,88.07,,108.64,102.4,117.39,94.37,101.15,94.29,100.0,107.19
2015-11-01,108.02,86.58,133.99,100,100,104.76,96.03,100,100.23,100,100,85.34,104.11,57.21,111.98,139.79,76.62,100,109.07,104.76,,94.25,109.31,107.04,107.54,100.44,100,100.0,99.17
2015-12-01,73.63,65.32,39.13,100,100,84.82,81.82,73.17,100,100,100,80.42,81.55,26.83,53.78,57.72,42.1,87.95,92.32,85.17,,101,102.28,68.45,63.6,98.65,96.97,100.0,100.27
2016-01-01,40.61,72.25,37.26,73.53,,77.01,78.79,69.72,100,100,100,68.46,100,94.34,88.57,20.3,91.77,107.8,102.91,86.25,,80.76,87.87,58.14,39.62,90,96.87,100.0,97.56
2016-02-01,18.9,119.19,79.79,84.48,,80.91,143.59,107.24,100,100,100,57.37,100,143.23,99.27,307.85,137.87,86.26,88.06,85.21,,67.53,100,100,66.53,100,100,100.0,105.58
2016-03-01,890.68,157.74,130.01,107.72,,114.83,116.96,131.05,100,99.76,100,134.93,100,356.17,101.21,103.45,112.08,90.52,100,118.26,,88.65,89.64,116.11,256.61,73.36,100,100.0,90.89
2016-04-01,146.78,88.93,367.82,121.98,,115.91,84.73,100,100,100,100,164.08,100,116.43,95.86,146.98,135.4,108.31,95.64,110.23,,100,107.86,133.2,96.04,98.65,100,100.0,103.44
2016-05-01,98.01,110.53,172.76,100,,94.04,132.43,105.15,100,100,100,111.26,100,109.15,100.68,153.81,115.52,91.24,101.92,100,,156.31,101.18,113.61,115.65,101.19,100,100.0,101.17
2016-06-01,141.19,142.45,151.46,145.05,,122.18,122.45,124.85,100,100,100,136.62,100,138.67,111.89,136.51,109.98,118.45,113.21,100,,131.38,131.28,127.98,119.25,100.69,100,100.0,96.37
2016-07-01,107.72,89.05,93.78,100,,107.25,94.44,100,100,100,100,123.4,100,86.72,101.06,111.41,100,116.03,118.33,100,,96.81,102.94,100,106.57,101.89,100,100.0,98.4
2016-08-01,83.23,90.45,65.92,105.59,,92.8,85.29,92.15,100,100,100,105.18,100,111.68,94.68,80.71,105.01,97.23,111.27,100,,98.84,97.81,100,96.07,99.83,100,102.0,100.67
2016-09-01,107,137.73,150.44,100,,100,132.41,120,100,100,100,104.84,100,102.18,97.79,137.96,128.22,90.95,96.53,100,,105.71,113.97,100,109.34,96.96,103.23,100.0,100.72
2016-10-01,101.27,115.35,129.49,100,,118.22,100,102.13,100,100,100,112.67,145.94,109.54,103.25,112.55,135.69,118.04,118.1,100,,121.33,110.71,100,124.54,118.47,103.13,100.0,97.86
2016-11-01,129.16,85.75,98.56,130,,102.77,100,102.08,100,100,100,118.6,101.99,96.47,100.02,108.09,93.03,114.52,81.06,100,,111.16,106.46,108.59,97.01,108.53,106.06,100.0,101.2
2016-12-01,90.17,114.4,84.46,100,,92.98,100,102.72,100,100,100,119.66,100,119.54,105.21,89.21,149.01,92.76,100,100,,111.3,97.78,100,113.69,99.19,100,100.0,97.81
2017-01-01,143.03,109.71,130.22,115.38,,117.03,130.21,115,103.19,100,,110.18,99.08,103.76,104.28,128.54,93.47,111.89,100,100,,98.91,105.09,100,94.5,100,108.57,100.0,98.8
2017-02-01,98.09,97.79,98.1,93.33,,102.35,86.8,100,103.06,100,,94.29,100.79,98.06,101.38,97.97,93.8,115.83,100,100,,97.69,95.74,100,82.54,104.19,100,100.0,94.77
2017-03-01,90.07,97.74,94.66,96.64,,90.8,101.84,100,95.51,100,,103.77,102.55,79.16,99.34,93.7,94.53,101.9,150.68,100.05,,87.66,90.31,100,98.08,114.04,97.37,100.0,100.01
2017-04-01,83.73,91.21,81.44,81.3,,88.77,100,77.48,92.34,100,,89.36,94.23,103.07,95.79,86.3,93.94,92.6,105.45,100,,82.58,86.8,100,96.07,77.94,98.92,100.0,102.19
2017-05-01,104.16,97.46,106.84,104.28,,101.78,89.14,112.23,99.0,71.69,,101.48,100.03,111.98,100.47,107.65,96.55,93.95,84.18,100,,99.2,99.03,100,102.04,102.97,100,100.0,97.93
2017-06-01,100.58,100,93.56,108.72,,102.65,99.95,95,97.27,105.84,,111.85,99.12,92.3,98.79,86,95.26,105.6,100,100,,102.08,99.81,100,106.67,88.83,101.09,100.0,99.84
2017-07-01,100.84,103.65,99.17,100,,99.13,101.57,110.53,99.67,86.6,,97.13,98.27,106.2,99.48,94.7,115.76,91.35,100,100,,89.51,116.27,100,98.13,101.61,100,100.0,100.45
2017-08-01,109.85,115.57,123.29,104.25,,107.67,109.79,119.05,103.11,124.97,,107.92,100.58,119.59,104.48,127.87,108.27,107.18,100,100,,110.54,123.39,100,122.29,99.84,100,102.52,98.88
2017-09-01,112.37,110.88,103.45,100,,108.19,109.26,104,104.33,107.02,,118.01,103.73,107.09,104.58,102.41,103.6,113.88,100,100,,125.98,98.95,100,109.38,100.24,100,100.0,98.98
2017-10-01,102.87,92.15,107.86,100,,100.77,101.18,100,102.01,106.54,,104.5,106.09,105.68,105.38,103.63,105.35,112.89,100,100,,110.56,101.3,100,104.28,100,105.41,100.0,99.47
2017-11-01,100.76,107.66,92.25,104.07,,102.23,100.42,100,105.96,100.72,,102.98,102.42,106.83,101.94,99.04,112.37,112.59,100,100,,96.07,113.68,100,105.94,112.61,97.44,100.0,100.18
2017-12-01,113.35,94.07,116.14,103.91,,111.73,112.71,100,100.26,100,,105.12,101.62,96.12,105.17,109.83,96.4,89.83,100,100,,140.16,98.3,100,100.86,103.2,105.26,100.0,97.29
2018-01-01,95.1,106.31,87.36,106.69,,92.43,94.16,95.38,103.35,100.45,,93.11,108.51,98.23,96.76,95.16,109.48,98.54,100,100.31,,97.69,102.76,96.55,100,109.59,105,100.0,92.76
