index,id,geometry,Тип,Субъект,Название,Направление поставок (объекты трубопроводного транспорта),Направление поставок (перерабатывающие заводы),Направление поставок (терминалы),Направление поставок (страны),Направление поставок (города),link_to,Источники поставок (объекты трубопроводного транспорта),Источники поставок (города),Источники поставок (страны),link_from
181,CompressorStation309,"{'type': 'Point', 'coordinates': [55.245901, 63.805171]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Курган",НПС Мишкино,ЛПДС Медведское,,,,,"""https://energybase.ru/compressor-station/lpds-medvedskoe-ust-balyk-kurgan-ufa-almetyevsk""",ЛПДС Юргамыш,,,"""https://energybase.ru/compressor-station/lpds-urgamysh-ust-balyk-kurgan-ufa-almetyevsk"""
182,CompressorStation310,"{'type': 'Point', 'coordinates': [55.335784, 64.515925]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Курган",ЛПДС Юргамыш,НПС Мишкино,,,,,"""https://energybase.ru/compressor-station/iops-mishkino-ust-balyk-kurgan-ufa-almetyevsk""",ЛПДС Хохлы-ПП,,,"""https://energybase.ru/compressor-station/lpds-hohly-pp"""
183,CompressorStation330,"{'type': 'Point', 'coordinates': [65.433865, 57.944191]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, пос. Сыня р-н Печора",НПС-2 Сыня,НПС-3 Печора,,,,,"""https://energybase.ru/compressor-station/ops-3-usa-ukhta""",ГНПС-1 Уса,,,"""https://energybase.ru/compressor-station/hops-1-usa-usa-ukhta"""
184,CompressorStation331,"{'type': 'Point', 'coordinates': [65.071938, 57.238244]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Печора",НПС-3 Печора,НПС-4 Чикшино,,,,,"""https://energybase.ru/compressor-station/ops-4-usa-ukhta""",НПС-2 Сыня,,,"""https://energybase.ru/compressor-station/ops-2-usa-ukhta"""
185,CompressorStation332,"{'type': 'Point', 'coordinates': [64.912717, 56.421361]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Печора",НПС-4 Чикшино,НПС-5 Зеленоборск,,,,,"""https://energybase.ru/compressor-station/ops-5-usa-ukhta""",НПС-3 Печора,,,"""https://energybase.ru/compressor-station/ops-3-usa-ukhta"""
186,CompressorStation333,"{'type': 'Point', 'coordinates': [64.494488, 55.264664]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ухта",НПС-5 Зеленоборск,НПС-6 Таежная,,,,,"""https://energybase.ru/compressor-station/ops-6-usa-ukhta""",НПС-4 Чикшино,,,"""https://energybase.ru/compressor-station/ops-4-usa-ukhta"""
187,CompressorStation334,"{'type': 'Point', 'coordinates': [64.099366, 54.680243]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ухта",НПС-6 Таежная,НПС-7 Ухта-1,,,,,"""https://energybase.ru/compressor-station/ops-7-ukhta-yaroslavl""",НПС-5 Зеленоборск,,,"""https://energybase.ru/compressor-station/ops-5-usa-ukhta"""
188,CompressorStation335,"{'type': 'Point', 'coordinates': [63.641048, 53.827791]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ухта",НПС-7 Ухта-1,НПС-8 Синдор,,,,,"""https://energybase.ru/compressor-station/ops-8-ukhta-yaroslavl""",НПС-6 Таежная,,,"""https://energybase.ru/compressor-station/ops-6-usa-ukhta"""
189,CompressorStation336,"{'type': 'Point', 'coordinates': [62.833431, 51.935034]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, пос. Синдор Княжпогостского р-на",НПС-8 Синдор,НПС-9 Микунь,,,,,"""https://energybase.ru/compressor-station/ops-9-ukhta-yaroslavl""",НПС-7 Ухта-1,,,"""https://energybase.ru/compressor-station/ops-7-ukhta-yaroslavl"""
190,CompressorStation337,"{'type': 'Point', 'coordinates': [62.331, 50.133278]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Сыктывкар",НПС-9 Микунь,НПС-10 Урдома,,,,,"""https://energybase.ru/compressor-station/ops-10-ukhta-yaroslavl""",НПС-8 Синдор,,,"""https://energybase.ru/compressor-station/ops-8-ukhta-yaroslavl"""
191,CompressorStation338,"{'type': 'Point', 'coordinates': [61.730743, 48.468933]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, пос. Урдома Ленского р-на",НПС-10 Урдома,НПС-11 Приводино,,,,,"""https://energybase.ru/compressor-station/ops-11-ukhta-yaroslavl""",НПС-9 Микунь,,,"""https://energybase.ru/compressor-station/ops-9-ukhta-yaroslavl"""
192,CompressorStation339,"{'type': 'Point', 'coordinates': [61.060196, 46.469722]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, пос. Приводино Котласского р-на",НПС-11 Приводино,НПС-12 Нюксеница,,,,,"""https://energybase.ru/compressor-station/ops-12-ukhta-yaroslavl""",НПС-10 Урдома,,,"""https://energybase.ru/compressor-station/ops-10-ukhta-yaroslavl"""
193,CompressorStation340,"{'type': 'Point', 'coordinates': [60.439208, 44.272537]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, с. Нюксеница Нюксенского р-на",НПС-12 Нюксеница,НПС-13 Погорелово,,,,,"""https://energybase.ru/compressor-station/ops-13-ukhta-yaroslavl""",НПС-11 Приводино,,,"""https://energybase.ru/compressor-station/ops-11-ukhta-yaroslavl"""
194,CompressorStation341,"{'type': 'Point', 'coordinates': [59.680918, 42.047784]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, п. Погорелово",НПС-13 Погорелово,НПС-14 Грязовец,,,,,"""https://energybase.ru/compressor-station/ops-14-ukhta-yaroslavl""",НПС-12 Нюксеница,,,"""https://energybase.ru/compressor-station/ops-12-ukhta-yaroslavl"""
195,CompressorStation342,"{'type': 'Point', 'coordinates': [58.782816, 40.278926]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Грязовец",НПС-14 Грязовец,ЛПДС-1 Ярославль,,,,,"""https://energybase.ru/compressor-station/hops-1-yaroslavl""",НПС-13 Погорелово,,,"""https://energybase.ru/compressor-station/ops-13-ukhta-yaroslavl"""
196,CompressorStation343,"{'type': 'Point', 'coordinates': [57.539346, 39.838322]}",        Головная нефтеперекачивающая станция (ГНПС),"Россия, Ярославль",ЛПДС-1 Ярославль,НПС Палкино,,,,,"""https://energybase.ru/compressor-station/ops-palkino""",НПС-14 Грязовец,,,"""https://energybase.ru/compressor-station/ops-14-ukhta-yaroslavl"""
197,CompressorStation344,"{'type': 'Point', 'coordinates': [57.972238, 37.901657]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Рыбинск",НПС-2 Правдино (Ярославль – Кириши),НПС-3 Быково (Ярославль – Кириши),,,,,"""https://energybase.ru/compressor-station/ops-3-yaroslavl-kirishi""",ЛПДС-1 Ярославль,,,"""https://energybase.ru/compressor-station/hops-1-yaroslavl"""
198,CompressorStation345,"{'type': 'Point', 'coordinates': [58.547931, 36.110934]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Череповец",НПС-3 Быково (Ярославль – Кириши),НПС-4 Песь (Ярославль – Кириши),,,,,"""https://energybase.ru/compressor-station/ops-4-yaroslavl-kirishi""",НПС-2 Правдино (Ярославль – Кириши),,,"""https://energybase.ru/compressor-station/ops-2-yaroslavl-kirishi"""
199,CompressorStation346,"{'type': 'Point', 'coordinates': [58.907981, 34.35667]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Боровичи",НПС-4 Песь (Ярославль – Кириши),ГНПС-1 Кириши (Кириши – Приморск),,,,,"""https://energybase.ru/compressor-station/hops-1-kirishi-primorsk""",НПС-3 Быково (Ярославль – Кириши),,,"""https://energybase.ru/compressor-station/ops-3-yaroslavl-kirishi"""
200,CompressorStation347,"{'type': 'Point', 'coordinates': [59.529724, 32.035612]}",        Головная нефтеперекачивающая станция (ГНПС),"Россия, Кириши",ГНПС-1 Кириши (Кириши – Приморск),НПС-2 Невская (Кириши – Приморск),,,,,"""https://energybase.ru/compressor-station/ops-2-kirishi-primorsk""",НПС-4 Песь (Ярославль – Кириши),,,"""https://energybase.ru/compressor-station/ops-4-yaroslavl-kirishi"""
201,CompressorStation348,"{'type': 'Point', 'coordinates': [59.916338, 30.842453]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Санкт-Петербург",НПС-2 Невская (Кириши – Приморск),НПС-3 Сестрорецкая (Кириши – Приморск),,,,,"""https://energybase.ru/compressor-station/ops-3-kirishi-primorsk""",ГНПС-1 Кириши (Кириши – Приморск),,,"""https://energybase.ru/compressor-station/hops-1-kirishi-primorsk"""
202,CompressorStation349,"{'type': 'Point', 'coordinates': [60.155627, 30.309716]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Санкт-Петербург",НПС-3 Сестрорецкая (Кириши – Приморск),,,"Специализированный морской нефтеналивной порт ""Приморск""",,,"""https://energybase.ru/terminal/smnpp-primorsk""",НПС-2 Невская (Кириши – Приморск),,,"""https://energybase.ru/compressor-station/ops-2-kirishi-primorsk"""
203,CompressorStation350,"{'type': 'Point', 'coordinates': [66.144426, 57.341337]}",        Головная нефтеперекачивающая станция (ГНПС),"Россия, Усинск",ГНПС-1 Уса,НПС-2 Сыня,,,,,"""https://energybase.ru/compressor-station/ops-2-usa-ukhta""",,,,
204,CompressorStation360,"{'type': 'Point', 'coordinates': [58.508874, 59.550791]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Нижняя Тура",НПС Арбатская,НПС Бисер,,,,,"""https://energybase.ru/compressor-station/ops-biser""",ЛПДС Платина,,,"""https://energybase.ru/compressor-station/lpds-platina"""
205,CompressorStation361,"{'type': 'Point', 'coordinates': [58.500489, 58.857579]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Нижняя Тура",НПС Бисер,ЛПДС Лысьва,,,,,"""https://energybase.ru/compressor-station/lpds-lysva""",НПС Арбатская,,,"""https://energybase.ru/compressor-station/ops-arbatskaya"""
206,CompressorStation362,"{'type': 'Point', 'coordinates': [58.002732, 56.733398]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Пермь",НПС Мостовая,ЛПДС Пермь,,,,,"""https://energybase.ru/compressor-station/lpds-perm""",ЛПДС Лысьва,,,"""https://energybase.ru/compressor-station/lpds-lysva"""
207,CompressorStation363,"{'type': 'Point', 'coordinates': [57.799225, 55.884705]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Пермь",ЛПДС Пермь,,Газоперерабатывающее производство на базе Пермского НПЗ,,,,"""https://energybase.ru/processing-plant/perm-gas-processing-plant-lukoil""",,,,
208,CompressorStation364,"{'type': 'Point', 'coordinates': [57.720928, 54.828644]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Пермь",НПС Большая Соснова,НПС Дебесы,,,,,"""https://energybase.ru/compressor-station/ops-debesy""",ЛПДС Пермь,,,"""https://energybase.ru/compressor-station/lpds-perm"""
209,CompressorStation365,"{'type': 'Point', 'coordinates': [57.632216, 53.695958]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Воткинск",НПС Дебесы,НПС Арлеть,,,,,"""https://energybase.ru/compressor-station/ops-arlet""",НПС Большая Соснова,,,"""https://energybase.ru/compressor-station/ops-bolshaya-sosnova"""
210,CompressorStation366,"{'type': 'Point', 'coordinates': [57.372851, 52.413025]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ижевск",НПС Арлеть,НПС Сюмси,,,,,"""https://energybase.ru/compressor-station/ops-syumsi""",НПС Дебесы,,,"""https://energybase.ru/compressor-station/ops-debesy"""
211,CompressorStation367,"{'type': 'Point', 'coordinates': [57.008087, 51.448739]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ижевск",НПС Сюмси,ЛПДС Лазарево,,,,,"""https://energybase.ru/compressor-station/lpds-lazarevo""",НПС Арлеть,,,"""https://energybase.ru/compressor-station/ops-arlet"""
212,CompressorStation368,"{'type': 'Point', 'coordinates': [57.27264, 53.413553]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Воткинск",НПС Киенгоп,НПС Малая Пурга,,,,,"""https://energybase.ru/compressor-station/ops-malaya-purga""",,,,
213,CompressorStation369,"{'type': 'Point', 'coordinates': [56.565442, 53.022176]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ижевск",НПС Малая Пурга,НПС Набережные Челны,,,,,"""https://energybase.ru/compressor-station/ops-naberezhnyye-chelny""",НПС Киенгоп,,,"""https://energybase.ru/compressor-station/ops-kiyengop"""
214,CompressorStation370,"{'type': 'Point', 'coordinates': [55.673301, 52.351012]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Набережные Челны",НПС Набережные Челны,,Нефтеперерабатывающий комплекс ТАИФ-НК,,,,"""https://energybase.ru/processing-plant/taif""",,,,
215,CompressorStation371,"{'type': 'Point', 'coordinates': [58.325492, 56.660614]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Пермь",НПС Полазна,,Газоперерабатывающее производство на базе Пермского НПЗ,,,,"""https://energybase.ru/processing-plant/perm-gas-processing-plant-lukoil""",,,,
216,CompressorStation372,"{'type': 'Point', 'coordinates': [56.468109, 54.410884]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Воткинск",НПС Уральская,НПС Белая,,,,,"""https://energybase.ru/compressor-station/ops-belaya""",ЛПДС Оса,,,"""https://energybase.ru/compressor-station/lpds-osa"""
217,CompressorStation373,"{'type': 'Point', 'coordinates': [55.820392, 53.835218]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ижевск",НПС Белая,НПС Муслюмово,,,,,"""https://energybase.ru/compressor-station/ops-muslyumovo""",НПС Уральская,,,"""https://energybase.ru/compressor-station/ops-uralskaya"""
218,CompressorStation374,"{'type': 'Point', 'coordinates': [55.283368, 53.066883]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Набережные Челны",НПС Муслюмово,НПС Калейкино,,,,,"""https://energybase.ru/compressor-station/ops-kaleykino""",НПС Белая,,,"""https://energybase.ru/compressor-station/ops-belaya"""
219,CompressorStation375,"{'type': 'Point', 'coordinates': [54.829234, 53.079007]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Альметьевск",НПС Азнакаево,ЛПДС Субханкулово,,,,,"""https://energybase.ru/compressor-station/lpds-subhankulovo-ust-balyk-kurgan-ufa-almetyevsk""",ПНПС Чекмагуш,,,"""https://energybase.ru/compressor-station/iops-chekmagush-kaltasy-yazykovo-salavat"""
220,CompressorStation376,"{'type': 'Point', 'coordinates': [54.792471, 52.735748]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Альметьевск",НПС-3,НПС Калейкино,,,,,"""https://energybase.ru/compressor-station/ops-kaleykino""",ЛПДС Субханкулово,,,"""https://energybase.ru/compressor-station/lpds-subhankulovo-ust-balyk-kurgan-ufa-almetyevsk"""
221,CompressorStation377,"{'type': 'Point', 'coordinates': [54.878767, 52.36217]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Альметьевск",НПС Альметьевск,НПС Азнакаево,,,,,"""https://energybase.ru/compressor-station/ops-aznakaevo""",НПС Карабаш,,,"""https://energybase.ru/compressor-station/ops-karabash"""
222,CompressorStation378,"{'type': 'Point', 'coordinates': [55.193825, 50.864221]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Чистополь",НПС Михайловка,,,,,,,НПС Калейкино,,,"""https://energybase.ru/compressor-station/ops-kaleykino"""
223,CompressorStation379,"{'type': 'Point', 'coordinates': [54.712524, 52.524562]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Альметьевск",НПС Карабаш,НПС Калейкино,,,,,"""https://energybase.ru/compressor-station/ops-kaleykino""",,,,
224,CompressorStation380,"{'type': 'Point', 'coordinates': [53.705116, 51.173072]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Самара",НПС Калиновый Ключ,,,,,,,НПС Елизаветинка,,,"""https://energybase.ru/compressor-station/ops-elizavetinka"""
225,CompressorStation381,"{'type': 'Point', 'coordinates': [54.128298, 52.357718]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Самара",НПС Байтуган,НПС Елизаветинка,,,,,"""https://energybase.ru/compressor-station/ops-elizavetinka""",,,,
226,CompressorStation382,"{'type': 'Point', 'coordinates': [54.34425, 52.125149]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Альметьевск",НПС Елизаветинка,НПС Калиновый Ключ,,,,,"""https://energybase.ru/compressor-station/ops-kalinovy-klyuch""",НПС Байтуган,,,"""https://energybase.ru/compressor-station/ops-baitugan"""
227,CompressorStation383,"{'type': 'Point', 'coordinates': [54.924577, 52.214241]}",        Головная нефтеперекачивающая станция (ГНПС),"Россия, Альметьевск",НПС Калейкино,НПС Михайловка,,,,,"""https://energybase.ru/compressor-station/ops-mikhaylovka""",НПС Муслюмово,,,"""https://energybase.ru/compressor-station/ops-muslyumovo"""
228,CompressorStation384,"{'type': 'Point', 'coordinates': [55.864114, 47.717271]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Цивильск",НПС Тиньговатово,ЛПДС Воротынец,,,,,"""https://energybase.ru/compressor-station/lpds-vorotynets""",НПС Ковали,,,"""https://energybase.ru/compressor-station/ops-kovali"""
229,CompressorStation385,"{'type': 'Point', 'coordinates': [55.620339, 49.152339]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Казань",НПС Ковали,НПС Тиньговатово,,,,,"""https://energybase.ru/compressor-station/ops-tingovatovo""",НПС Михайловка,,,"""https://energybase.ru/compressor-station/ops-mikhaylovka"""
230,CompressorStation386,"{'type': 'Point', 'coordinates': [54.879378, 48.219219]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ульяновск",НПС Студенец,ПНПС Клин,,,,,"""https://energybase.ru/compressor-station/iops-klin-druzhba""",ЛПДС Лазарево,,,"""https://energybase.ru/compressor-station/lpds-lazarevo"""
231,CompressorStation387,"{'type': 'Point', 'coordinates': [63.5677, 74.627638]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Муравленко",НПС Суторминская,,,,,,,,,,
232,CompressorStation388,"{'type': 'Point', 'coordinates': [63.145788, 74.601073]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ноябрьск",НПС Холмогоры,НПС Апрельская,,,,,"""https://energybase.ru/compressor-station/ops-aprelskaya""",,,,
233,CompressorStation389,"{'type': 'Point', 'coordinates': [62.334549, 74.481812]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ноябрьск",НПС Апрельская,НПС Кучиминская,,,,,"""https://energybase.ru/compressor-station/ops-kuchiminskaya""",НПС Холмогоры,,,"""https://energybase.ru/compressor-station/ops-kholmogory"""
234,CompressorStation390,"{'type': 'Point', 'coordinates': [61.930934, 74.375614]}",        Промежуточная нефтеперекачивающая станция (ПНПС),Россия,НПС Кучиминская,НПС Сатарино,,,,,"""https://energybase.ru/compressor-station/ops-satarino""",НПС Апрельская,,,"""https://energybase.ru/compressor-station/ops-aprelskaya"""
235,CompressorStation391,"{'type': 'Point', 'coordinates': [61.324995, 73.016725]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Сургут",ЛПДС Западный Сургут,ЛПДС Остров,,,,,"""https://energybase.ru/compressor-station/lpds-ostrov""",НПС Апрельская,,,"""https://energybase.ru/compressor-station/ops-aprelskaya"""
236,CompressorStation392,"{'type': 'Point', 'coordinates': [61.163806, 72.621152]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Сургут",ЛПДС Остров,ЛПДС Каркатеевы,,,,,"""https://energybase.ru/compressor-station/lpds-karkateevy""",ЛПДС Западный Сургут,,,"""https://energybase.ru/compressor-station/lpds-zapadny-surgut"""
237,CompressorStation393,"{'type': 'Point', 'coordinates': [60.964527, 72.426639]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Сургут",ЛПДС Каркатеевы,ЛПДС Южный Балык,,,,,"""https://energybase.ru/compressor-station/lpds-yuzhni-balyk""",ЛПДС Остров,,,"""https://energybase.ru/compressor-station/lpds-ostrov"""
238,CompressorStation394,"{'type': 'Point', 'coordinates': [60.492325, 72.198372]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Пыть-Ях",ЛПДС Южный Балык,ЛПДС Салым,,,,,"""https://energybase.ru/compressor-station/lpds-salym""",ЛПДС Каркатеевы,,,"""https://energybase.ru/compressor-station/lpds-karkateevy"""
239,CompressorStation395,"{'type': 'Point', 'coordinates': [60.162714, 71.704931]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Пыть-Ях",ЛПДС Салым,ЛПДС Муген,,,,,"""https://energybase.ru/compressor-station/lpds-mugen""",ЛПДС Южный Балык,,,"""https://energybase.ru/compressor-station/lpds-yuzhni-balyk"""
240,CompressorStation396,"{'type': 'Point', 'coordinates': [59.803117, 70.799117]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Тобольск",ЛПДС Муген,ЛПДС Демьянское,,,,,"""https://energybase.ru/compressor-station/lpds-demyanskoe""",ЛПДС Салым,,,"""https://energybase.ru/compressor-station/lpds-salym"""
241,CompressorStation397,"{'type': 'Point', 'coordinates': [59.59041, 69.358707]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Тобольск",ЛПДС Демьянское,ЛПДС Кедровая,,,,,"""https://energybase.ru/compressor-station/lpds-kedrovaya""",ЛПДС Муген,,,"""https://energybase.ru/compressor-station/lpds-mugen"""
242,CompressorStation398,"{'type': 'Point', 'coordinates': [59.687414, 68.620348]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Тобольск",ЛПДС Кедровая,ЛДПС Конда,,,,,"""https://energybase.ru/compressor-station/ldps-konda""",ЛПДС Демьянское,,,"""https://energybase.ru/compressor-station/lpds-demyanskoe"""
243,CompressorStation399,"{'type': 'Point', 'coordinates': [59.129817, 69.015791]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Тобольск",ЛПДС Уват,ЛПДС Аремзяны,,,,,"""https://energybase.ru/compressor-station/lpds-aremzyany""",ЛПДС Демьянское,,,"""https://energybase.ru/compressor-station/lpds-demyanskoe"""
244,CompressorStation400,"{'type': 'Point', 'coordinates': [58.4968, 68.675859]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Тобольск",ЛПДС Аремзяны,НПС Вагай,,,,,"""https://energybase.ru/compressor-station/iops-vagay""",ЛПДС Уват,,,"""https://energybase.ru/compressor-station/lpds-uvat"""
245,CompressorStation401,"{'type': 'Point', 'coordinates': [58.063464, 67.878267]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Тобольск",ЛПДС Сетово,ЛПДС Бачкун,,,,,"""https://energybase.ru/compressor-station/lpds-bachkun""",ЛПДС Аремзяны,,,"""https://energybase.ru/compressor-station/lpds-aremzyany"""
246,CompressorStation402,"{'type': 'Point', 'coordinates': [57.640945, 67.015657]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Тюмень",ЛПДС Бачкун,ЛПДС Торгили,,,,,"""https://energybase.ru/compressor-station/lpds-torgili""",ЛПДС Сетово,,,"""https://energybase.ru/compressor-station/lpds-setovo"""
247,CompressorStation403,"{'type': 'Point', 'coordinates': [57.282592, 66.052938]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Тюмень",ЛПДС Торгили,ЛПДС им. В.Н.Чепурского,,,,,"""https://energybase.ru/compressor-station/lpds-chepurskogo""",ЛПДС Бачкун,,,"""https://energybase.ru/compressor-station/lpds-bachkun"""
248,CompressorStation405,"{'type': 'Point', 'coordinates': [56.813377, 65.803278]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Тюмень",ЛПДС им. В.Н.Чепурского,ЛПДС Исетское,,,,,"""https://energybase.ru/compressor-station/lpds-isetskoe""",ЛПДС Торгили,,,"""https://energybase.ru/compressor-station/lpds-torgili"""
249,CompressorStation406,"{'type': 'Point', 'coordinates': [56.406636, 65.274839]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Тюмень",ЛПДС Исетское,ЛПДС Чаши,,,,,"""https://energybase.ru/compressor-station/lpds-chashi""",ЛПДС им. В.Н.Чепурского,,,"""https://energybase.ru/compressor-station/lpds-chepurskogo"""
250,CompressorStation407,"{'type': 'Point', 'coordinates': [55.920161, 64.855578]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Тюмень",ЛПДС Чаши,ЛПДС Юргамыш,,,,,"""https://energybase.ru/compressor-station/lpds-urgamysh-ust-balyk-kurgan-ufa-almetyevsk""",ЛПДС Исетское,,,"""https://energybase.ru/compressor-station/lpds-isetskoe"""
251,CompressorStation408,"{'type': 'Point', 'coordinates': [63.067563, 76.967812]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ноябрьск",НПС Вынгапур,ЛПДС Самотлор,,,,,"""https://energybase.ru/compressor-station/lpds-samotlor""",ЛДПС Пурпе,,,"""https://energybase.ru/compressor-station/ldps-purpe"""
252,CompressorStation409,"{'type': 'Point', 'coordinates': [60.984229, 76.437995]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Нижневартовск",ЛПДС Нижневартовская,ЛПДС Урьевская,,,,,"""https://energybase.ru/compressor-station/lpds-urievskaya""",ЛПДС Самотлор,,,"""https://energybase.ru/compressor-station/lpds-samotlor"""
253,CompressorStation410,"{'type': 'Point', 'coordinates': [61.25855, 75.122559]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Нижневартовск",ЛПДС Урьевская,НПС Юган,,,,,"""https://energybase.ru/compressor-station/ops-yugan""",ЛПДС Нижневартовская,,,"""https://energybase.ru/compressor-station/lpds-nizhnevartovskaya"""
254,CompressorStation411,"{'type': 'Point', 'coordinates': [60.90995, 74.419413]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Пыть-Ях",НПС Юган,НПС Мамонтово,,,,,"""https://energybase.ru/compressor-station/ops-mamontovo""",ЛПДС Урьевская,,,"""https://energybase.ru/compressor-station/lpds-urievskaya"""
255,CompressorStation412,"{'type': 'Point', 'coordinates': [60.706687, 72.883]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Пыть-Ях",НПС Мамонтово,ЛПДС Южный Балык,,,,,"""https://energybase.ru/compressor-station/lpds-yuzhni-balyk""",НПС Юган,,,"""https://energybase.ru/compressor-station/ops-yugan"""
256,CompressorStation413,"{'type': 'Point', 'coordinates': [61.00778, 71.755743]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Сургут",НПС Сатарино,ЛПДС Кедровая,,,,,"""https://energybase.ru/compressor-station/lpds-kedrovaya""",НПС Кучиминская,,,"""https://energybase.ru/compressor-station/ops-kuchiminskaya"""
257,CompressorStation414,"{'type': 'Point', 'coordinates': [59.528443, 67.683506]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ханты-Мансийск",НПС Ильичевка,НПС Катыш,,,,,"""https://energybase.ru/compressor-station/ops-katysh""",ЛПДС Кедровая,,,"""https://energybase.ru/compressor-station/lpds-kedrovaya"""
258,CompressorStation415,"{'type': 'Point', 'coordinates': [59.525787, 66.827345]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тюмень",НПС Катыш,,,,Россия,,,,,,
259,CompressorStation416,"{'type': 'Point', 'coordinates': [58.818453, 65.989208]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тюмень",НПС Кума,ЛПДС Торгили,,,,,"""https://energybase.ru/compressor-station/lpds-torgili""",ЛДПС Конда,,,"""https://energybase.ru/compressor-station/ldps-konda"""
