index,id,geometry,Тип,Субъект,Название,Направление поставок (объекты трубопроводного транспорта),Направление поставок (перерабатывающие заводы),Направление поставок (терминалы),Направление поставок (страны),Направление поставок (города),link_to,Источники поставок (объекты трубопроводного транспорта),Источники поставок (города),Источники поставок (страны),link_from
124,CompressorStation246,"{'type': 'Point', 'coordinates': [46.89006, 47.492118]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Астрахань",НПС Астраханская,А-НПС-5А,,,,,"""https://energybase.ru/compressor-station/iops-a-nps-5a-tengiz-novorossiysk""",А-НПС-4А,,,"""https://energybase.ru/compressor-station/iops-a-nps-4a-tengiz-novorossiysk"""
125,CompressorStation247,"{'type': 'Point', 'coordinates': [46.848966, 48.5921]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Астрахань",А-НПС-4А,НПС Астраханская,,,,,"""https://energybase.ru/compressor-station/iops-astrakhanskaya-tengiz-novorossiysk""",НПС Курмангазы,,,"""https://energybase.ru/compressor-station/iops-kurmangazi-tengiz-novorossiysk"""
126,CompressorStation248,"{'type': 'Point', 'coordinates': [46.732508, 49.735043]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Казахстан, Атырау",НПС Курмангазы,А-НПС-4А,,,,,"""https://energybase.ru/compressor-station/iops-a-nps-4a-tengiz-novorossiysk""",НПС Исатай,,,"""https://energybase.ru/compressor-station/iops-isatay-tengiz-novorossiysk"""
127,CompressorStation249,"{'type': 'Point', 'coordinates': [47.031671, 50.515695]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Казахстан, Атырау",НПС Исатай,НПС Курмангазы,,,,,"""https://energybase.ru/compressor-station/iops-kurmangazi-tengiz-novorossiysk""",ГНПС Атырау (КТК Тенгиз - Новороссийск),,,"""https://energybase.ru/compressor-station/iops-atyrau-tengiz-novorossiysk"""
128,CompressorStation250,"{'type': 'Point', 'coordinates': [47.178279, 51.865597]}",        Головная нефтеперекачивающая станция (ГНПС),"Казахстан, Атырау",ГНПС Атырау (КТК Тенгиз - Новороссийск),НПС Исатай,,,,,"""https://energybase.ru/compressor-station/iops-isatay-tengiz-novorossiysk""",ГНПС Тенгиз,,,"""https://energybase.ru/compressor-station/iops-tengiz-tengiz-novorossiysk"""
129,CompressorStation251,"{'type': 'Point', 'coordinates': [46.176391, 53.420055]}",        Головная нефтеперекачивающая станция (ГНПС),"Казахстан, Атырау",ГНПС Тенгиз,,,,,,,,Тенгиз,,
130,CompressorStation252,"{'type': 'Point', 'coordinates': [44.856356, 38.805857]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Краснодар",НПС Смоленская,,,,,Краснодар,,,,,
131,CompressorStation253,"{'type': 'Point', 'coordinates': [44.829837, 38.51561]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Абинск",НПС Карская,НПС Смоленская,,,,,"""https://energybase.ru/compressor-station/ops-smolenskaya""",ЛПДС Крымская,,,"""https://energybase.ru/compressor-station/ldps-krymskaya"""
132,CompressorStation254,"{'type': 'Point', 'coordinates': [44.745125, 39.260818]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Горячий Ключ",НПС Псекупская,,,,,Краснодар,,,,,
133,CompressorStation255,"{'type': 'Point', 'coordinates': [44.106786, 43.469832]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Пятигорск",НПС Подкумок,НПС Успенская,,,,,"""https://energybase.ru/compressor-station/lops-uspenskaya""",НПС Сулак,,,"""https://energybase.ru/compressor-station/ops-sulak"""
134,CompressorStation256,"{'type': 'Point', 'coordinates': [43.174755, 46.776524]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Махачкала",НПС Сулак,НПС Подкумок,,,,,"""https://energybase.ru/compressor-station/ops-podkumok""",ЛПДС Махачкала,,,"""https://energybase.ru/compressor-station/ldps-mahachkala"""
135,CompressorStation257,"{'type': 'Point', 'coordinates': [43.025169, 47.455144]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Махачкала",ЛПДС Махачкала,НПС Сулак,,,,,"""https://energybase.ru/compressor-station/ops-sulak""",НПС Самур,,,"""https://energybase.ru/compressor-station/ops-samur"""
136,CompressorStation258,"{'type': 'Point', 'coordinates': [41.921068, 48.254861]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Дербент",НПС Самур,,,,,,,,,Азербайджан,
137,CompressorStation259,"{'type': 'Point', 'coordinates': [44.460637, 39.516551]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Туапсе",ЛПДС Хадыженская,,,,,,,ЛПДС Пшекская,,,"""https://energybase.ru/compressor-station/ldps-pshekskaya"""
138,CompressorStation260,"{'type': 'Point', 'coordinates': [44.712312, 39.789101]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Майкоп",ЛПДС Пшекская,ЛПДС Хадыженская,,,,,"""https://energybase.ru/compressor-station/ldps-hadyjenskya""",НПС Ладожская,,,"""https://energybase.ru/compressor-station/ops-ladojskaya"""
139,CompressorStation261,"{'type': 'Point', 'coordinates': [45.263001, 39.917915]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Краснодар",НПС Ладожская,ЛПДС Пшекская,,,,,"""https://energybase.ru/compressor-station/ldps-pshekskaya""",ПНПС Тихорецкая,,,"""https://energybase.ru/compressor-station/iops-tikhoreckaya"""
140,CompressorStation262,"{'type': 'Point', 'coordinates': [44.885234, 37.961519]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Новороссийск",ЛПДС Крымская,,,,,Новороссийск,,,,,
141,CompressorStation263,"{'type': 'Point', 'coordinates': [45.260895, 38.870359]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Краснодар",НПС Нововеличковская,ЛПДС Крымская,,,,,"""https://energybase.ru/compressor-station/ldps-krymskaya""",ПНПС Тихорецкая,,,"""https://energybase.ru/compressor-station/iops-tikhoreckaya"""
142,CompressorStation264,"{'type': 'Point', 'coordinates': [45.84345, 40.180821]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тихорецк",ПНПС Тихорецкая,НПС Подкумок,,,,,"""https://energybase.ru/compressor-station/ops-podkumok""",ПНПС Песчанокопская,,,"""https://energybase.ru/compressor-station/iops-peschanokopskaya"""
143,CompressorStation265,"{'type': 'Point', 'coordinates': [46.622813, 39.648639]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ростов-на-Дону",НПС Кущевская,ПНПС Тихорецкая,,,,,"""https://energybase.ru/compressor-station/iops-tikhoreckaya""",НПС Родионовская,,,"""https://energybase.ru/compressor-station/ops-rosionovskaya"""
144,CompressorStation266,"{'type': 'Point', 'coordinates': [47.589285, 39.675657]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Таганрог",НПС Родионовская,НПС Кущевская,,,,,"""https://energybase.ru/compressor-station/ops-kushevskaya""",НПС Тарасовская,,,"""https://energybase.ru/compressor-station/ops-tarasovskaya"""
145,CompressorStation267,"{'type': 'Point', 'coordinates': [48.675322, 40.181358]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Каменск-Шахтинский",НПС Тарасовская,НПС Родионовская,,,,,"""https://energybase.ru/compressor-station/ops-rosionovskaya""",ПНПС Суходольная,,,"""https://energybase.ru/compressor-station/iops-sukhodolnaya"""
146,CompressorStation273,"{'type': 'Point', 'coordinates': [56.25651, 70.58304]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ишим",НПС Абатская,ЛПДС Омская,,,,,"""https://energybase.ru/compressor-station/ldps-omskaya""",НПС Вознесенка-2,,,"""https://energybase.ru/compressor-station/iops-voznesenka-2"""
147,CompressorStation274,"{'type': 'Point', 'coordinates': [56.65137, 69.85408]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тобольск",НПС Вознесенка-2,НПС Абатская,,,,,"""https://energybase.ru/compressor-station/iops-abatskaya""",НПС Вагай,,,"""https://energybase.ru/compressor-station/iops-vagay"""
148,CompressorStation275,"{'type': 'Point', 'coordinates': [57.8865, 69.14598]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Тобольск",НПС Вагай,,,,,,,,,Россия,
149,CompressorStation276,"{'type': 'Point', 'coordinates': [54.94822, 71.88167]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Омск",ЛПДС Москаленки,ЛПДС Омская,,,,,"""https://energybase.ru/compressor-station/ldps-omskaya""",ППС Плотниково,,,"""https://energybase.ru/compressor-station/ps-plotnikovo"""
150,CompressorStation277,"{'type': 'Point', 'coordinates': [55.08879, 73.23503]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Омск",ЛПДС Омская,,,,,Павлодар,,,,,
151,CompressorStation278,"{'type': 'Point', 'coordinates': [55.19858, 75.90999]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Омск",НПС Татарская,ЛПДС Барабинская,,,,,"""https://energybase.ru/compressor-station/ldps-barabinskaya""",ЛПДС Омская,,,"""https://energybase.ru/compressor-station/ldps-omskaya"""
152,CompressorStation279,"{'type': 'Point', 'coordinates': [55.34182, 78.39]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Барабинск",ЛПДС Барабинская,НПС Чулымская,,,,,"""https://energybase.ru/compressor-station/iops-chulymskaya-nijnaya""",НПС Татарская,,,"""https://energybase.ru/compressor-station/iops-tatarskaya"""
153,CompressorStation280,"{'type': 'Point', 'coordinates': [55.1158, 80.98188]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Новосибирск",НПС Чулымская,НПС Сокур,,,,,"""https://energybase.ru/compressor-station/iops-sokur-nijnaya""",ЛПДС Барабинская,,,"""https://energybase.ru/compressor-station/ldps-barabinskaya"""
154,CompressorStation281,"{'type': 'Point', 'coordinates': [55.191, 83.25845]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Новосибирск",НПС Сокур,ЛПДС Анжеро-Судженская,,,,,"""https://energybase.ru/compressor-station/ldps-anjero-sudjenskaya""",НПС Чулымская,,,"""https://energybase.ru/compressor-station/iops-chulymskaya-nijnaya"""
155,CompressorStation282,"{'type': 'Point', 'coordinates': [56.15516, 86.05329]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Кемерово",ЛПДС Анжеро-Судженская,,НПЗ Северный Кузбасс,,,,"""https://energybase.ru/processing-plant/refinery-severny-kuzbass""",,,,
156,CompressorStation283,"{'type': 'Point', 'coordinates': [56.18583, 87.7909]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Кемерово",НПС Мариинская,НПС Каштан,,,,,"""https://energybase.ru/compressor-station/iops-kashtan""",ЛПДС Анжеро-Судженская,,,"""https://energybase.ru/compressor-station/ldps-anjero-sudjenskaya"""
157,CompressorStation284,"{'type': 'Point', 'coordinates': [56.11515, 89.2574]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Ачинск",НПС Каштан,ЛПДС Ачинская,,,,,"""https://energybase.ru/compressor-station/ldps-achinskaya""",НПС Мариинская,,,"""https://energybase.ru/compressor-station/iops-maryinskaya"""
158,CompressorStation285,"{'type': 'Point', 'coordinates': [56.32266, 90.49523]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Ачинск",ЛПДС Ачинская,,Ачинский НПЗ,,,,"""https://energybase.ru/processing-plant/achinsk-refinery""",,,,
159,CompressorStation286,"{'type': 'Point', 'coordinates': [56.19241, 91.65917]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Красноярск",НПС Кемчугская,НПС Вознесенка,,,,,"""https://energybase.ru/compressor-station/iops-voznesenka""",ЛПДС Ачинская,,,"""https://energybase.ru/compressor-station/ldps-achinskaya"""
160,CompressorStation287,"{'type': 'Point', 'coordinates': [55.97819, 93.2731]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Красноярск",НПС Вознесенка,ЛПДС Рыбинская,,,,,"""https://energybase.ru/compressor-station/ldps-rybinskaya""",НПС Кемчугская,,,"""https://energybase.ru/compressor-station/iops-kemchugskaya"""
161,CompressorStation288,"{'type': 'Point', 'coordinates': [55.79291, 94.79794]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Зеленогорск",ЛПДС Рыбинская,НПС Пойменская,,,,,"""https://energybase.ru/compressor-station/iops-poimenskaya""",НПС Вознесенка,,,"""https://energybase.ru/compressor-station/iops-voznesenka"""
162,CompressorStation289,"{'type': 'Point', 'coordinates': [56.19113, 96.65656]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Канск",НПС Пойменская,,,,,Иркутск,,,,,
163,CompressorStation290,"{'type': 'Point', 'coordinates': [53.748584, 54.006858]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Салават",ПНПС Шкапово,ЛПДС Салават,,,,,"""https://energybase.ru/compressor-station/lpds-salavat-kaltasy-yazykovo-salavat""",ЛПДС Языково,,,"""https://energybase.ru/compressor-station/lpds-yazykovo-ust-balyk-kurgan-ufa-almetyevsk"""
164,CompressorStation291,"{'type': 'Point', 'coordinates': [52.719814, 56.656237]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Салават",ПНПС Мраково,,,,Россия,,,,,,
165,CompressorStation292,"{'type': 'Point', 'coordinates': [53.43841, 55.868686]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Салават",ЛПДС Салават,ПНПС Мраково,,,,,"""https://energybase.ru/compressor-station/iops-mrakovo-salavat-orsk""",ПНПС Шкапово,,,"""https://energybase.ru/compressor-station/iops-shkapovo-skapovo-salavat"""
166,CompressorStation293,"{'type': 'Point', 'coordinates': [55.111912, 54.854951]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Уфа",ПНПС Чекмагуш,,Уфимский НПЗ,,,,"""https://energybase.ru/processing-plant/ufa-refinery""",,,,
167,CompressorStation294,"{'type': 'Point', 'coordinates': [55.987724, 54.523172]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Ижевск",ЛПДС Калтасы,ПНПС Чекмагуш,,,,,"""https://energybase.ru/compressor-station/iops-chekmagush-kaltasy-yazykovo-salavat""",ПНПС Чернушка,,,"""https://energybase.ru/compressor-station/iops-chernushka-chernushka-kaltasy"""
168,CompressorStation295,"{'type': 'Point', 'coordinates': [56.478776, 56.016347]}",        Промежуточная нефтеперекачивающая станция (ПНПС),"Россия, Пермь",ПНПС Чернушка,ЛПДС Калтасы,,,,,"""https://energybase.ru/compressor-station/lpds-kaltasy-kaltasy-yazykovo-salavat""",,,,
169,CompressorStation296,"{'type': 'Point', 'coordinates': [54.547401, 53.839574]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Туймазы",ЛПДС Субханкулово,,,,Россия,,,,,,
170,CompressorStation297,"{'type': 'Point', 'coordinates': [54.671318, 54.787681]}",        Линейная производственно-диспетчерская станция (ЛПДС),"Россия, Туймазы",ЛПДС Языково,ЛПДС Салават,,,,,"""https://energybase.ru/compressor-station/lpds-salavat-kaltasy-yazykovo-salavat""",ПНПС Чекмагуш,,,"""https://energybase.ru/compressor-station/iops-chekmagush-kaltasy-yazykovo-salavat"""
