,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,"Удельный расход условного топлива на э/э (УРУТ э.э.), г/кВт•ч:",Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч","Расход условного топлива на производство э/э, Гкал/Mвт•ч"
83,Серовская ГРЭС, Тепловая электростанция ,808.0, 1 625.70 млн. кВт*ч, Серов, Широта: 59.633448 Долгота: 60.705085,110.0, 85.50 тыс. Гкал, 48 %," 624983, Российская Федерация, Свердловская область, г.Серов, ул.Пристанционная,1",472.9, 198 кг/Гкал,694.7547599999999,0.13613861386138615,0.0033103
87,Южноуральская ГРЭС, Тепловая электростанция ,747.0, 2 113.86 млн. кВт*ч, Южноуральск, Широта: 54.455653 Долгота: 61.232464,395.0, 322.36 тыс. Гкал, 44.12 %," 457040, г. Южноуральск Челябинской области, ул. Спортивная, д.1.",328.6,,642.304215,0.5287817938420348,0.0023002
89,Хабаровская ТЭЦ-3, Теплоэлектроцентраль ,720.0, 2 526.92 млн. кВт*ч, Хабаровск, Широта: 48.571306 Долгота: 135.150944,1640.0, 2 998.49 тыс. Гкал, 45.91 %,,299.1,,619.0884,2.2777777777777777,0.0020936999999999996
90,Омская ТЭЦ-5, Теплоэлектроцентраль ,715.0, 3 751.70 млн. кВт*ч, Омск, Широта: 55.000789 Долгота: 73.484019,1735.0, 3 395.40 тыс. Гкал, 59.80 %,,338.62, 142.32 кг/Гкал,614.789175,2.4265734265734267,0.00237034
97,Харанорская ГРЭС, Тепловая электростанция ,655.0, 3 488.57 млн. кВт*ч, Чита, Широта: 50.853889 Долгота: 115.700000,329.3, 117.15 тыс. Гкал, 62.93 %," 674520, Забайкальский край, Оловяннинский р-он, п. Ясногорск",344.1,,563.198475,0.5027480916030534,0.0024087
103,Нерюнгринская ГРЭС, Теплоэлектроцентраль ,618.0, 2 062.17 млн. кВт*ч, Нерюнгри, Широта: 56.668889 Долгота: 124.853333,1385.0, 1 858.34 тыс. Гкал, 60.69 %,,342.6,,531.3842099999998,2.2411003236245954,0.0023982
109,Южно-Сахалинская ТЭЦ-1, Теплоэлектроцентраль ,592.8, 1 721.20 млн. кВт*ч, Южно-Сахалинск, Широта: 46.998056 Долгота: 142.742222,739.0, 1 591.16 тыс. Гкал, 75.25 %," 693012, г. Южно-Сахалинск, пер. Энергетиков, 1",346.65,,509.716116,1.2466261808367072,0.00242655
125,Уренгойская ГРЭС, Тепловая электростанция ,529.7, 2 922.49 млн. кВт*ч, Новый Уренгой, Широта: 66.034992 Долгота: 78.083847,410.0, 98.55 тыс. Гкал, 78.51 %," 626671, Тюменская обл, п. Лимбяяха",254.0,,455.4598965,0.7740230319048518,0.001778
133,Владивостокская ТЭЦ-2, Теплоэлектроцентраль ,497.0, 1 973.22 млн. кВт*ч, Владивосток, Широта: 43.100278 Долгота: 131.972778,1051.0, 2 816.40 тыс. Гкал, 38.63 %,,420.9,,427.34296500000005,2.1146881287726362,0.0029463000000000002
150,Черепетская ГРЭС, Тепловая электростанция ,450.0, 2 699.12 млн. кВт*ч, Суворов, Широта: 54.137500 Долгота: 36.479167,172.0, 125.04 тыс. Гкал, 28.48 %," 301430, Тульская обл. г. Суворов, ул. Н.Островского, д.1а",411.2,,386.93025,0.38222222222222224,0.0028784
156,Псковская ГРЭС, Тепловая электростанция ,440.0, 615.50 млн. кВт*ч, Псков, Широта: 57.509722 Долгота: 29.969444,84.0, 55.90 тыс. Гкал, 16 %," 182711, Российская Федерация, Псковская область, п. Дедовичи",348.6, 206.70 кг/Гкал,378.3318,0.19090909090909086,0.0024401999999999996
162,Омская ТЭЦ-4, Теплоэлектроцентраль ,435.0, 1 462.40 млн. кВт*ч, Омск, Широта: 55.083846 Долгота: 73.212091,1095.0, 1 864 тыс. Гкал, 38.20 %,,438.46, 162.81 кг/Гкал,374.032575,2.5172413793103448,0.00306922
163,Хабаровская ТЭЦ-1, Теплоэлектроцентраль ,435.0, 1 618.91 млн. кВт*ч, Хабаровск, Широта: 48.413611 Долгота: 135.117500,1200.2, 2 979.11 тыс. Гкал, 42.48 %,,361.6,,374.032575,2.759080459770115,0.0025312
173,Омская ТЭЦ-3, Теплоэлектроцентраль ,400.2, 1 780.50 млн. кВт*ч, Омск, Широта: 55.067360 Долгота: 73.258331,1170.74, 3 471.60 тыс. Гкал, 52.20 %,,331.05, 144.83 кг/Гкал,344.109969,2.9253873063468268,0.00231735
175,Артемовская ТЭЦ, Теплоэлектроцентраль ,400.0, 2 096.44 млн. кВт*ч, Артём, Широта: 43.371389 Долгота: 132.305000,297.0, 744.09 тыс. Гкал, 59.48 %,,443.1,,343.93800000000005,0.7425,0.0031016999999999998
190,Якутская ГРЭС, Теплоэлектроцентраль ,368.0, 1 601.38 млн. кВт*ч, Якутск, Широта: 62.059765 Долгота: 129.774284,548.0, 1 394.41 тыс. Гкал, 67.73 %,,414.32,,316.42296,1.4891304347826086,0.00290024
191,Комсомольская ТЭЦ-3, Теплоэлектроцентраль ,360.0, 1 126.38 млн. кВт*ч, Комсомольск-на-Амуре, Широта: 50.606111 Долгота: 136.954722,1240.0, 1 461.18 тыс. Гкал, 42.75 %,,305.3,,309.5442,3.4444444444444446,0.0021371
193,Адлерская ТЭС, Теплоэлектроцентраль ,351.0, 2 016.10 млн. кВт*ч, Сочи, Широта: 43.420222 Долгота: 39.949154,90.0, 160.50 тыс. Гкал, 64 %," 354383, Краснодарский край, г. Сочи, Адлерский район, ул. Суздальская",261.7, 130.40 кг/Гкал,301.80559500000004,0.2564102564102564,0.0018319000000000002
204,Томская ГРЭС-2, Теплоэлектроцентраль ,331.0, 1 372.62 млн. кВт*ч, Томск, Широта: 56.473056 Долгота: 84.996389,815.0,, 52.40 %,,325.01, 134.90 кг/Гкал,284.608695,2.462235649546828,0.00227507
213,Ивановские ПГУ, Тепловая электростанция ,325.0, 550.67 млн. кВт*ч, Комсомольск, Широта: 57.023139 Долгота: 40.384793,14.8, 94.16 тыс. Гкал, 14.80 %,,261.4,,279.449625,0.045538461538461535,0.0018298
231,Амурская ТЭЦ-1, Теплоэлектроцентраль ,285.0, 443.66 млн. кВт*ч, Амурск, Широта: 50.227442 Долгота: 136.882095,1169.0, 664.48 тыс. Гкал, 23.93 %,,406.5,,245.055825,4.101754385964912,0.0028455
233,Благовещенская ТЭЦ, Теплоэлектроцентраль ,280.0, 1 106.09 млн. кВт*ч, Благовещенск, Широта: 50.285278 Долгота: 127.489722,817.0, 2 130.58 тыс. Гкал, 57.53 %,,331.8,,240.7566,2.9178571428571427,0.0023225999999999998
247,Комсомольская ТЭЦ-2, Теплоэлектроцентраль ,240.5, 845.53 млн. кВт*ч, Комсомольск-на-Амуре, Широта: 50.540654 Долгота: 137.037170,786.0, 1 758.22 тыс. Гкал, 46.37 %,,363.4,,206.7927225,3.2681912681912677,0.0025438
257,Камчатская ТЭЦ-1, Теплоэлектроцентраль ,229.0, 241.56 млн. кВт*ч, Петропавловск-Камчатский, Широта: 52.969944 Долгота: 158.680556,364.57,,,,392.34,,196.904505,1.5920087336244542,0.00274638
262,Аркагалинская ГРЭС, Теплоэлектроцентраль ,224.0, 42.20 млн. кВт*ч, Мяунджа, Широта: 63.034167 Долгота: 147.180556,151.0, 63.15 тыс. Гкал, 3.32 %,,1138.14,,192.60528,0.6741071428571429,0.00796698
